Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,764887117.2,872138715.1,958463184.4,1082979721.0,1245688268.0,1320474860.0,1379960894.0,1531944134.0,1665100559.0,1722798883.0,1873452514.0,1920111732.0,1941340782.0,2021229050.0,2228491620.0,2330726257.0,2424581006.0,2615083799.0,2745251397.0,2498882682.0,2390502793.0,2549720670.0,2534636872.0,2701675978.0,2765363128.0,2919553073.0,2965921788.0,3056424581.0,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,4055179566.0,4515558808.0,5226778809.0,6209137625.0,6971285595.0,9747879532.0,10109225814.0,12439087077.0,15856574731.0,17804292964.0,20001598506.0,20561069558.0,20484885120.0,19907111419.0,19362642267.0,20191760000.0,19484384937.0,19101353833.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812705294.0,23552052408.0,36970918699.0,52381006892.0,65266452081.0,88538611205.0,70307163678.0,83799496611.0,111790000000.0,128053000000.0,136710000000.0,145712000000.0,116194000000.0,101124000000.0,122124000000.0,101353000000.0,94635415870.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880951520.0,2392764853.0,3199642580.0,2258515610.0,2545967253.0,3212119044.0,3480355189.0,3922099471.0,4348070165.0,5611492283.0,7184681399.0,8052075642.0,8896073938.0,10677321490.0,12881354104.0,12044223353.0,11926928506.0,12890765324.0,12319830252.0,12776217195.0,13228144008.0,11386846319.0,11861200797.0,13019693451.0,15147020535.0,15278077447.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1429049198.0,1546926174.0,1755910032.0,2361726862.0,2894921778.0,3159905484.0,3456442103.0,3952600602.0,4085630584.0,3674409558.0,3449966857.0,3629203786.0,3188808943.0,3193704343.0,3271808157.0,2789870188.0,2896679212.0,3000180750.0,3218316013.0,3154057987.0
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,447404000000.0,441365000000.0,472480000000.0,477835000000.0,488405000000.0,524727000000.0,579211000000.0,614231000000.0,592475000000.0,644771000000.0,735810000000.0,724040000000.0,729796000000.0,823993000000.0,965050000000.0,1186100000000.0,1405830000000.0,1639410000000.0,2079910000000.0,1794340000000.0,2106020000000.0,2494060000000.0,2772880000000.0,2855310000000.0,2892810000000.0,2529690000000.0,2463430000000.0,2513490000000.0,2772020000000.0,2815410000000.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,289787000000.0,350666000000.0,374591000000.0,390108000000.0,403137000000.0,358135000000.0,357045000000.0,385606000000.0,422215000000.0,421142000000.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,141352000000.0,189720000000.0,228789000000.0,236742000000.0,257440000000.0,258032000000.0,272150000000.0,292859000000.0,298948000000.0,283523000000.0,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,642696000000.0,519872000000.0,449663000000.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2256838858.0,2068526522.0,1272577456.0,1201313201.0,1315158670.0,1468317350.0,1596968913.0,1639492424.0,1893726437.0,1845482181.0,1911563665.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469950.0,6384451606.0,9206301700.0,11662040714.0,8647936748.0,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,642000000.0,661000000.0,652000000.0,602000000.0,636000000.0,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,459469058.9,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296.0,1157005444.0,1311401333.0,1368431037.0,1224253000.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467977778.0,1610574074.0,1727759259.0
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,310777000000.0,325310000000.0,324879000000.0,311544000000.0,322212000000.0,367216000000.0,400303000000.0,434568000000.0,398899000000.0,388608000000.0,415223000000.0,378376000000.0,394649000000.0,466488000000.0,612490000000.0,693408000000.0,746054000000.0,853100000000.0,1054000000000.0,927805000000.0,1146140000000.0,1396650000000.0,1546150000000.0,1576180000000.0,1467480000000.0,1351690000000.0,1208850000000.0,1330140000000.0,1433900000000.0,1392680000000.0
