Country,level_3,RCA_Specialty
Argentina,Arts and Humanities,0.467035580927761
Cuba,Arts and Humanities,1.610982104155056
Mexico,Arts and Humanities,0.4415272686316621
Pakistan,Arts and Humanities,0.1639551665028107
Switzerland,Arts and Humanities,1.012190874068071
Argentina,Arts and Humanities,0.6398142484786359
Denmark,Arts and Humanities,0.6021018177361164
Guadeloupe,Arts and Humanities,8.137034908048843
Switzerland,Arts and Humanities,0.8790827624654112
Belgium,Natural Sciences,0.9254711573843344
Byelarus,Natural Sciences,0.2022907027073647
Chile,Natural Sciences,1.3776871791338257
French-Polynesia,Natural Sciences,1.3238802654959758
Haiti,Natural Sciences,0.4964550995609909
Libya,Natural Sciences,2.0812091509980406
Philippines,Natural Sciences,4.093275601173976
Slovenia,Natural Sciences,1.1184332901540568
Turkey,Natural Sciences,1.4880114249061125
Vietnam,Natural Sciences,1.439308695853394
Algeria,Natural Sciences,1.1050373416856576
China,Natural Sciences,0.9435264616857288
Croatia,Natural Sciences,1.2312592519629433
Egypt,Natural Sciences,1.041956939569819
French-Guiana,Natural Sciences,3.826713164136477
Kenya,Natural Sciences,2.7937779078750005
Mauritania,Natural Sciences,1.8722091286904268
Namibia,Natural Sciences,3.038664030858808
Reunion,Natural Sciences,1.852292010300103
Turkey,Natural Sciences,1.071404762548245
Angola,Natural Sciences,3.060649708150406
Croatia,Natural Sciences,1.509628336557877
Ecuador,Natural Sciences,2.5484335379847387
Guadeloupe,Natural Sciences,5.848775812150432
Ivory Coast,Natural Sciences,1.0275827539999558
Saudi Arabia,Natural Sciences,1.0056598714917353
United Kingdom,Natural Sciences,0.5159838260868939
Algeria,Natural Sciences,0.7960007631602356
Australia,Natural Sciences,2.097548874525756
Barbados,Natural Sciences,1.7181100450820093
Belgium,Natural Sciences,1.17951755446069
Japan,Natural Sciences,0.4737197208452435
Burundi,Natural Sciences,5.892816585398703
Ivory Coast,Natural Sciences,1.999728371940354
Bangladesh,Natural Sciences,0.5553827953354741
Bulgaria,Natural Sciences,31.23684007707129
Jordan,Arts and Humanities,0.741379556011513
Peru,Arts and Humanities,1.3407415996701713
Philippines,Arts and Humanities,0.412398547967789
Italy,Arts and Humanities,0.3575667750398118
Kuwait,Arts and Humanities,1.327382230810202
New Zealand,Arts and Humanities,1.6315577155240175
Albania,Natural Sciences,2.3061140108639577
Central African Republic,Natural Sciences,1.906387582314205
Dominican Republic,Natural Sciences,0.8587331451865788
Finland,Natural Sciences,0.5843686391503378
Croatia,Arts and Humanities,2.792411700824589
Czech Republic,Arts and Humanities,0.9546363569646265
Ireland,Arts and Humanities,0.5595506947132963
Czech Republic,Arts and Humanities,0.784681041330998
Qatar,Arts and Humanities,0.5090004698265344
Austria,Natural Sciences,0.5545499538594103
Bangladesh,Natural Sciences,2.2594536033187853
Burkina Faso,Natural Sciences,3.571397925524028
Guinea-Bissau,Natural Sciences,0.9929101991219818
Malaysia,Natural Sciences,1.910365784381464
Netherlands,Natural Sciences,0.6524762703747916
Papua New Guinea,Natural Sciences,2.4001282511150066
Romania,Natural Sciences,0.5135874179422489
Colombia,Natural Sciences,1.3884255519410422
Belgium,Arts and Humanities,1.3484470111625284
Bosnia & Herzegovina,Arts and Humanities,1.118091370122056
Morocco,Arts and Humanities,0.5620894909688013
Norway,Arts and Humanities,1.3319068592963994
Byelarus,Arts and Humanities,0.5258256528417818
Mozambique,Arts and Humanities,1.9177170868347344
Vietnam,Arts and Humanities,0.1508579198849535
Austria,Arts and Humanities,2.6500429597443693
Malaysia,Arts and Humanities,0.1032959826602148
Philippines,Arts and Humanities,0.7909501308755866
United States,Arts and Humanities,1.5702499776709888
Czech Republic,Natural Sciences,1.1787256260822825
Gabon,Natural Sciences,1.8690074336413776
Indonesia,Natural Sciences,3.230536027684765
Slovenia,Arts and Humanities,2.344521646660178
Zimbabwe,Arts and Humanities,2.31559857587895
Republic of Serbia,Arts and Humanities,0.4571016146883921
Turkey,Arts and Humanities,0.2076790253435303
Bhutan,Natural Sciences,3.404263539846794
Denmark,Natural Sciences,0.905802219056088
Georgia,Natural Sciences,0.4971949730327659
Guatemala,Natural Sciences,0.2590200519448648
Iraq,Natural Sciences,0.9531937911571026
Italy,Natural Sciences,1.0744810479061244
New Zealand,Natural Sciences,1.94023652800764
Paraguay,Natural Sciences,2.428519213139115
Switzerland,Natural Sciences,0.4731584151701717
Togo,Natural Sciences,2.932903972791085
Vanuatu,Natural Sciences,3.81277516462841
Albania,Natural Sciences,1.560174273908689
Bulgaria,Natural Sciences,1.1630062101922805
Japan,Natural Sciences,0.9287267950789584
Switzerland,Natural Sciences,0.8428231327621916
Togo,Natural Sciences,0.8928997382985113
Uruguay,Natural Sciences,1.737994499682674
Bosnia & Herzegovina,Natural Sciences,0.5137913769999779
Canada,Natural Sciences,1.5171602990287143
Ethiopia,Natural Sciences,2.027112803736411
France,Natural Sciences,0.8730496745331553
Kuwait,Natural Sciences,0.6360679840401959
Lebanon ,Natural Sciences,0.1713669011788005
Philippines,Natural Sciences,0.9475380254926355
United States,Natural Sciences,0.8933581366189265
Venezuela,Natural Sciences,1.317779735453647
Angola,Natural Sciences,1.3486240138815777
Czech Republic,Natural Sciences,1.9605822024790964
Guadeloupe,Natural Sciences,1.7181100450820093
Guyana,Natural Sciences,17.299590798756785
Indonesia,Natural Sciences,3.0781410585633666
Italy,Natural Sciences,0.710051355127268
Ivory Coast,Natural Sciences,2.7167227427650547
Qatar,Natural Sciences,0.2149477862741845
Bosnia & Herzegovina,Natural Sciences,0.999864185970177
Burkina Faso,Natural Sciences,4.293990380057969
Kazakhstan,Natural Sciences,0.2562094167564653
Kenya,Natural Sciences,5.304144949279681
Niger,Natural Sciences,4.945756777031054
Papua New Guinea,Natural Sciences,9.962675522076944
Croatia,Natural Sciences,0.5540082069619752
Cyprus,Natural Sciences,0.283661228574828
Denmark,Natural Sciences,0.8682353949277578
Finland,Natural Sciences,1.086732157180297
Gambia,Natural Sciences,2.4871011291114384
Luxembourg,Natural Sciences,0.3592717022276196
Norway,Natural Sciences,0.985386810673825
Panama,Natural Sciences,6.068113958164007
Poland,Natural Sciences,0.7797038396453858
South Africa,Natural Sciences,0.8654370126154135
Benin,Natural Sciences,1.6965996016638465
Byelarus,Natural Sciences,0.6145012705517044
Cambodia,Natural Sciences,4.338336880966914
Cyprus,Natural Sciences,0.7371512186455274
Ireland,Natural Sciences,0.5313049038634148
Malaysia,Natural Sciences,0.833966010034456
United States,Natural Sciences,0.7859998772382871
Venezuela,Natural Sciences,4.81750504176154
Barbados,Natural Sciences,6.029753098922255
Brunei,Natural Sciences,8.039670798563005
Chile,Natural Sciences,2.9497868434740653
Costa Rica,Natural Sciences,4.753943778531734
Estonia,Natural Sciences,2.495555643075711
Lesotho,Natural Sciences,4.733032002379835
Romania,Natural Sciences,0.2635196778746437
United States,Natural Sciences,0.8827155124005702
Venezuela,Natural Sciences,4.075666446493746
Zimbabwe,Natural Sciences,2.1940036197947643
Belize,Natural Sciences,12.263919147906076
Denmark,Natural Sciences,2.0076255054349312
Germany,Natural Sciences,1.4449531232622133
Guatemala,Natural Sciences,6.798476918947934
Nepal,Natural Sciences,1.990325780567096
Spain,Natural Sciences,1.1467720046629402
Trinidad and Tobago,Natural Sciences,6.162166271361674
Byelarus,Natural Sciences,1.425128518885771
Chile,Natural Sciences,1.9156068952508265
Jordan,Natural Sciences,0.5023343492661395
New-Caledonia,Natural Sciences,9.933736066552887
United States,Natural Sciences,1.441094495776488
Uruguay,Natural Sciences,3.808533110815423
Belgium,Medical Sciences,0.8524863449809553
Dominica ,Medical Sciences,143.96989979060723
Egypt,Medical Sciences,2.939911167339891
Turkey,Medical Sciences,2.9395993803830023
Australia,Medical Sciences,0.696817556282724
Azerbaijan,Medical Sciences,0.2783138040399414
Benin,Medical Sciences,0.2691816323448808
Byelarus,Medical Sciences,0.6581011045443607
Cambodia,Medical Sciences,0.5899871393860402
Fiji,Medical Sciences,0.42854787238986
Namibia,Medical Sciences,0.4509849337715281
Netherlands,Medical Sciences,0.8394896745799523
Republic of Serbia,Medical Sciences,0.8119984600168779
Sudan,Medical Sciences,0.5995692971022868
Sweden,Medical Sciences,1.0651392405699756
Bahrain,Medical Sciences,1.5817124570714955
Canada,Medical Sciences,0.7579698092010947
Lebanon ,Medical Sciences,0.2713955751146154
Jamaica,Natural Sciences,0.5920458330168339
Mexico,Natural Sciences,2.134062045391258
Oman,Natural Sciences,1.7319937307992463
Pakistan,Natural Sciences,2.8510031339532182
Tajikistan,Natural Sciences,1.5541203116691888
Trinidad and Tobago,Natural Sciences,1.1738839792575155
United Kingdom,Natural Sciences,0.3761641308788617
Armenia,Natural Sciences,0.2848514502547398
Bangladesh,Natural Sciences,3.2657896941312408
Burundi,Natural Sciences,3.704584020600206
Georgia,Natural Sciences,0.7784595333899093
Hungary,Natural Sciences,1.357158474305165
South Korea,Natural Sciences,0.7799356714635456
Benin,Natural Sciences,1.7790026428624237
Greece,Natural Sciences,1.2142687055056511
Iceland,Natural Sciences,0.4945967382415077
Netherlands,Natural Sciences,0.8567471523263945
Tunisia,Natural Sciences,0.6209433308420326
Bahamas,Natural Sciences,9.837022218900916
Bhutan,Natural Sciences,7.166973330913525
Brazil,Natural Sciences,1.5246406808675232
Canada,Natural Sciences,1.7904631502957375
Iran,Natural Sciences,0.163827346025134
Jamaica,Natural Sciences,0.7790188403166874
New Zealand,Natural Sciences,3.4203772076608105
Switzerland,Natural Sciences,1.593200891530077
Tajikistan,Natural Sciences,1.363282970554203
United Kingdom,Natural Sciences,1.2444418568800577
Algeria,Natural Sciences,1.375640957849697
Mozambique,Natural Sciences,3.429874668900793
Republic of Kosovo,Natural Sciences,2.3080198292811582
Tanzania,Natural Sciences,3.396708427998686
Vietnam,Natural Sciences,1.281608672859484
Belgium,Natural Sciences,0.964174000940798
China,Natural Sciences,0.5135061351223832
Egypt,Natural Sciences,1.955314764995294
Germany,Natural Sciences,0.9478732774363942
Paraguay,Natural Sciences,2.661356622233896
Singapore,Natural Sciences,0.7470374556438562
Sweden,Natural Sciences,0.9656046602262124
Australia,Natural Sciences,1.1394030792885206
Equatorial Guinea,Natural Sciences,36.194124835495394
India,Natural Sciences,0.5799562401907548
Kenya,Natural Sciences,1.2177112392894414
Lebanon ,Natural Sciences,0.2179056281486778
Madagascar,Natural Sciences,15.851441533793604
Maldives,Natural Sciences,9.048531208873849
Namibia,Natural Sciences,3.78996071575868
Netherlands,Natural Sciences,0.4744235602390347
Republic of Serbia,Natural Sciences,1.8452179841104808
