Country,Papers
Afghanistan,17.0
Albania,53.87
Algeria,733.87
Andorra,4.86
Angola,17.05
Antarctica,1.53
Antigua & Barbuda,3.19
Argentina,3882.89
Armenia,379.44
Australia,23800.47
Austria,6860.69
Azerbaijan,262.26
Bahamas,10.16
Bahrain,79.54
Bangladesh,522.56
Barbados,40.02
Belgium,10058.71
Belize,8.53
Benin,89.44
Bermuda,18.84
Bhutan,16.03
Bolivia,89.13
Bophuthatswana,3.41
Bosnia & Herzegovina,180.93
Botswana,95.18
Brazil,13555.2
Brunei,37.29
Bulgaria,1619.53
Burkina Faso,106.62
Burma,35.51
Burundi,13.79
Byelarus,866.03
Cambodia,76.84
Cameroon,258.16
Canada,36653.98
Cape Verde,8.75
Central African Republic,15.56
Ceylon,47.4
Chad,9.77
Chile,2540.44
China,61933.96
Ciskei,8.8
Colombia,1049.13
Comoros,3.38
Congo,60.7
Cook Islands,2.97
Costa Rica,242.31
Crimea,2.5
Croatia,1724.06
Cuba,424.76
Cyprus,292.62
Czech Republic,5141.17
Czechoslovakia,3729.26
Dahomey,2.14
Democratic Republic of the Congo,75.57
Denmark,7765.24
Djibouti,4.26
Dominica ,7.83
Dominican Republic,28.38
Ecuador,191.44
Egypt,3151.89
El Salvador,17.98
Equatorial Guinea,3.43
Eritrea,16.71
Estonia,796.38
Ethiopia,321.07
Federated States of Micronesia ,5.56
Fiji,53.09
Finland,6359.8
France,43573.62
French-Guiana,32.33
French-Polynesia,39.62
Gabon,52.91
Gambia,53.24
Georgia,291.12
Germany,60923.29
Ghana ,254.11
Gilbert & Ellice Islands,2.0
Greece,4793.02
Grenada,35.92
Guadeloupe,60.24
Guatemala,68.22
Guinea,18.4
Guinea-Bissau,18.55
Guyana,13.71
Haiti,19.71
Honduras ,24.29
Hong-Kong,1104.55
Hungary,4011.4
Iceland,359.24
India,23909.87
Indonesia,541.31
Iran,6329.13
Iraq,277.64
Ireland,3121.18
Israel,8688.31
Italy,29833.58
Ivory Coast,134.49
Jamaica,143.93
Japan,54485.18
Jordan,488.42
Kazakhstan,302.67
Kenya,659.58
Khmer Republic,1.33
Kiribati,2.85
Kuwait,413.4
Kyrgyzstan,50.9
Laos,52.93
Latvia,393.62
Lebanon ,387.47
Lesotho,11.69
Liberia ,10.93
Libya,79.84
Liechtenstein,26.02
Lithuania,979.56
Luxembourg,232.13
Macau,6.71
Macedonia,172.11
Madagascar,79.96
Malawi,129.8
Malaysia,2407.4
Maldives,5.26
Mali,59.04
Malta,73.8
Marshall Islands,2.36
Mauritania,11.95
Mauritius,37.33
Mexico,4793.98
Moldova ,189.79
Monaco,43.33
Mongolia,69.09
Montenegro,131.4
Morocco,723.78
Mozambique,58.38
Namibia,53.19
Nauru,1.67
Nepal,161.53
Netherlands,18521.07
Netherlands-Antilles,14.0
New Zealand,4424.22
New-Caledonia,70.4
Nicaragua,29.33
Niger,48.14
Nigeria,1291.24
Niue,1.4
North Korea,16.72
Norway,5471.29
Oman,219.7
Pakistan,1881.87
Palau,5.14
Palestine,62.0
Panama,136.87
Papua New Guinea,95.42
Paraguay,29.56
People's Democratic Republic of Yemen,2.46
People's Republic of Congo,19.86
Peru,318.98
Philippines,459.51
Poland,11007.11
Portugal,4048.38
Qatar,296.54
Republic of Kosovo,44.14
Republic of Serbia,1605.58
Reunion,56.14
Rhodesia,3.0
Romania,2713.89
Russia,17621.1
Rwanda,41.69
Saint-Vincent-et-les-Grenadines,2.5
Samoa,4.45
San Marino,4.46
Sao Tome & Principe,2.58
Saudi Arabia,2604.0
Senegal,163.02
Senegambia,120.21
Serbia and Montenegro,493.29
Seychelles,14.58
Sierra Leone,24.42
Singapore,3964.6
Slovakia,1993.5
Slovenia,1951.39
Solomon Islands,9.31
Somalia,7.62
South Africa,4920.33
South Korea,16325.29
South Sudan,9.0
Spain,22064.89
Sri Lanka,264.4
St-Kitts & Nevis ,20.24
St-Lucia,3.58
Sudan,158.87
Suriname,8.86
Swaziland,18.11
Sweden,13883.98
Switzerland,13758.8
Syria,112.73
Taiwan,9991.13
Tajikistan,45.31
Tanzania,302.27
Thailand,2137.58
Togo,28.29
Tonga,3.26
Transkei,11.54
Trinidad and Tobago,108.84
Tunisia,1030.6
Turkey,8539.11
Turkmenistan,10.24
Tuvalu,1.36
Uganda,265.91
Ukraine,3212.77
Union of Soviet Socialist Republics,30175.91
United Arab Emirates,528.19
United Arab Republic,601.75
United Kingdom,66490.91
United States,260623.22
Uruguay,312.78
Uzbekistan,279.42
Vanuatu,9.26
Vatican,8.18
Venda,3.2
Venezuela,743.69
Vietnam,638.93
Western Sahara,1.0
Yemen,75.2
Yemen Arab Republic,10.73
Yugoslavia,1251.12
Zaire,52.84
Zambia,118.42
Zimbabwe,212.6
