Country,Year,Discipline,Specialty,RCA_Specialty
Italy,2014,Arts,Fine Arts & Architecture,1.416529830772186
Lebanon ,2014,Arts,Fine Arts & Architecture,1.0497347632268978
Latvia,2014,Arts,Performing Arts,1.501554592762341
Nicaragua,2014,Biology,Agricult & Food Science,2.3272872501729323
Nigeria,2014,Biology,Agricult & Food Science,3.292109215603965
Burma,2014,Biology,Botany,5.886656082887701
Finland,2014,Biology,Botany,1.3289502871375647
Guyana,2014,Biology,Botany,4.2047543449197855
New Zealand,2014,Biology,Botany,1.942685679810375
New-Caledonia,2014,Biology,Botany,4.528196986836693
Trinidad and Tobago,2014,Biology,Botany,1.792890177529249
Bangladesh,2014,Biology,Dairy & Animal Science,1.0918122488652833
Bulgaria,2014,Biology,Dairy & Animal Science,1.3207922049834857
Czech Republic,2014,Biology,Dairy & Animal Science,1.6511743312210336
Indonesia,2014,Biology,Dairy & Animal Science,1.3579324939773747
Jamaica,2014,Biology,Dairy & Animal Science,1.4735897345796145
Panama,2014,Biology,Ecology,17.866736618025545
Reunion,2014,Biology,Ecology,1.4542919276647088
Turkmenistan,2014,Biology,Ecology,5.2516097387892255
Vanuatu,2014,Biology,Ecology,6.164933171622135
Zimbabwe,2014,Biology,Ecology,8.681232425345454
Australia,2014,Biology,Entomology,1.0328035587164246
Brunei,2014,Biology,Entomology,1.9318241021802136
Chile,2014,Biology,Entomology,1.615582434207652
Czech Republic,2014,Biology,Entomology,3.313938296287996
Hungary,2014,Biology,Entomology,1.4853837607536886
Sri Lanka,2014,Biology,Entomology,2.2710849387024283
Uruguay,2014,Biology,Entomology,4.378531018582646
Yemen,2014,Biology,Entomology,3.4928069704597613
Australia,2014,Biology,General Biology,1.087521383061944
Benin,2014,Biology,General Biology,1.4397149322949896
Bolivia,2014,Biology,General Biology,5.380934559452524
Grenada,2014,Biology,General Biology,3.416466386953984
Philippines,2014,Biology,General Biology,1.1066189325352234
Sudan,2014,Biology,General Biology,1.2160304089158245
Thailand,2014,Biology,General Biology,1.0400896817588734
United States,2014,Biology,General Biology,1.0901433189830907
Federated States of Micronesia ,2014,Biology,General Zoology,26.940476008382152
Guadeloupe,2014,Biology,General Zoology,1.0300770238499055
Mexico,2014,Biology,General Zoology,2.699317647005739
Portugal,2014,Biology,General Zoology,1.2238538897226603
Sri Lanka,2014,Biology,General Zoology,2.0332434723307284
Argentina,2014,Biology,Marine Biology & Hydrobiology,2.455130853346809
Canada,2014,Biology,Marine Biology & Hydrobiology,1.4280132766428864
Federated States of Micronesia ,2014,Biology,Marine Biology & Hydrobiology,11.39475642103901
Greece,2014,Biology,Marine Biology & Hydrobiology,1.688267219734824
Grenada,2014,Biology,Marine Biology & Hydrobiology,2.351298944023923
Netherlands-Antilles,2014,Biology,Marine Biology & Hydrobiology,29.62636669470143
Australia,2014,Biology,Miscellaneous Biology,1.747492988924181
Burkina Faso,2014,Biology,Miscellaneous Biology,1.2080310319331788
Iceland,2014,Biology,Miscellaneous Biology,2.3313304283600225
Peru,2014,Biology,Miscellaneous Biology,2.0430872563253444
Philippines,2014,Biology,Miscellaneous Biology,1.329144682949616
Vietnam,2014,Biology,Miscellaneous Biology,1.0557937490291145
Zimbabwe,2014,Biology,Miscellaneous Biology,1.978458985972196
Bahamas,2014,Biology,Miscellaneous Zoology,43.77772944758591
Guadeloupe,2014,Biology,Miscellaneous Zoology,4.892805055906661
Mexico,2014,Biology,Miscellaneous Zoology,3.319297326659683
Niger,2014,Biology,Miscellaneous Zoology,6.601403646858192
United Kingdom,2014,Biology,Miscellaneous Zoology,1.1889700474125051
Grenada,2014,Biomedical Research,Anatomy & Morphology,347.028374878057
Sri Lanka,2014,Biomedical Research,Anatomy & Morphology,3.095725529019447
Israel,2014,Biomedical Research,Biophysics,1.1965824550634292
Afghanistan,2014,Biomedical Research,Cellular Biology Cytology & Histology,1.8532162942776425
France,2014,Biomedical Research,Cellular Biology Cytology & Histology,1.035718671059878
Argentina,2014,Biomedical Research,Embryology,1.0753173559127365
Denmark,2014,Biomedical Research,Embryology,1.0979392162544532
Dominica ,2014,Biomedical Research,General Biomedical Research,1.9795129686948585
Luxembourg,2014,Biomedical Research,General Biomedical Research,1.160341242479198
Niger,2014,Biomedical Research,General Biomedical Research,1.885250446376056
Norway,2014,Biomedical Research,General Biomedical Research,1.096578339869167
Paraguay,2014,Biomedical Research,General Biomedical Research,1.079734346560832
Austria,2014,Biomedical Research,Genetics & Heredity,1.2974644640287496
Estonia,2014,Biomedical Research,Genetics & Heredity,2.2488587404590725
Fiji,2014,Biomedical Research,Genetics & Heredity,1.6712021819813845
Israel,2014,Biomedical Research,Genetics & Heredity,1.2863470225495557
Malawi,2014,Biomedical Research,Genetics & Heredity,1.4026161170200904
Montenegro,2014,Biomedical Research,Genetics & Heredity,1.4681589262266368
Tunisia,2014,Biomedical Research,Genetics & Heredity,1.0061065265964784
Venezuela,2014,Biomedical Research,Genetics & Heredity,1.1925076298551376
