,Acoustics,Addictive Diseases,Aerospace Technology,Agricult & Food Science,Allergy,Analytical Chemistry,Anatomy & Morphology,Anesthesiology,Anthropology and Archaeology,Applied Chemistry,Applied Mathematics,Applied Physics,Area Studies,Arthritis & Rheumatology,Astronomy & Astrophysics,Behavioral Science & Complementary Psychology,Biochemistry & Molecular Biology,Biomedical Engineering,Biophysics,Botany,Cancer,Cardiovascular System,Cellular Biology Cytology & Histology,Chemical Engineering,Chemical Physics,Civil Engineering,Clinical Psychology,Communication,Computers,Criminology,Dairy & Animal Science,Demography,Dentistry,Dermatology & Venerial Disease,Developmental & Child Psychology,Earth & planetary Science,Ecology,Economics,Education,Electrical Engineering & Electronics,Embryology,Endocrinology,Entomology,Environmental & Occupational Health,Environmental Science,Experimental Psychology,Fertility,Fine Arts & Architecture,Fluids & Plasmas,Gastroenterology,General & Internal Medicine,General Biology,General Biomedical Research,General Chemistry,General Engineering,General Mathematics,General Physics,General Psychology,General Social Sciences,General Zoology,Genetics & Heredity,Geography,Geology,Geriatrics,Geriatrics & Gerontology,Health Policy & Services,Hematology,History,Human Factors,Immunology,Industrial Engineering,Information Science & Library Science,Inorganic & Nuclear Chemistry,International Relations,Language & Linguistics,Law,Literature,Management,Marine Biology & Hydrobiology,Materials Science,Mechanical Engineering,Metals & Metallurgy,Meteorology & Atmospheric Science,Microbiology,Microscopy,Miscellaneous Biology,Miscellaneous Biomedical Research,Miscellaneous Clinical Medicine,Miscellaneous Engineering & Technology,Miscellaneous Humanities,Miscellaneous Mathematics,Miscellaneous Physics,Miscellaneous Professional Field,Miscellaneous Psychology,Miscellaneous Social Sciences,Miscellaneous Zoology,Nephrology,Neurology & Neurosurgery,Nuclear & Particle Physics,Nuclear Technology,Nursing,Nutrition & Dietetic,Obstetrics & Gynecology,Oceanography & Limnology,Operations Research,Ophthalmology,Optics,Organic Chemistry,Orthopedics,Otorhinolaryngology,Parasitology,Pathology,Pediatrics,Performing Arts,Pharmacology,Pharmacy,Philosophy,Physical Chemistry,Physiology,Planning & Urban Studies,Political Science and Public Administration,Polymers,Probability & Statistics,Psychiatry,Psychoanalysis,Public Health,Radiology & Nuclear Medicine,Rehabilitation,Religion,Respiratory System,Science studies,Social Psychology,"Social Sciences, Biomedical",Social Studies of Medicine,Social Work,Sociology,Solid State Physics,Speech-Language Pathology and Audiology,Surgery,Tropical Medicine,Unknown,Urology,Veterinary Medicine,Virology
Acoustics,1.0,0.5486725663716814,0.5742574257425742,0.41379310344827586,0.6086956521739131,0.5333333333333333,0.5433070866141733,0.5346534653465347,0.49693251533742333,0.6120689655172413,0.515625,0.42574257425742573,0.5337837837837838,0.5428571428571428,0.4158415841584158,0.5825242718446602,0.19801980198019803,0.5126050420168067,0.5148514851485149,0.4147727272727273,0.3564356435643564,0.4368932038834951,0.33663366336633666,0.5,0.46534653465346537,0.5581395348837209,0.44554455445544555,0.49504950495049505,0.5148514851485149,0.4158415841584158,0.4676258992805755,0.5352112676056338,0.5454545454545454,0.4899328859060403,0.504950495049505,0.4779874213836478,0.4276315789473684,0.42953020134228187,0.48091603053435117,0.45544554455445546,0.504950495049505,0.4537037037037037,0.45121951219512196,0.47093023255813954,0.4913294797687861,0.3465346534653465,0.5702479338842975,0.5420560747663551,0.5247524752475248,0.4857142857142857,0.40476190476190477,0.46308724832214765,0.3958333333333333,0.45,0.6574074074074074,0.5238095238095238,0.39215686274509803,0.5688073394495413,0.5037593984962406,0.4406779661016949,0.43884892086330934,0.5267175572519084,0.47023809523809523,0.49504950495049505,0.42574257425742573,0.5035460992907801,0.512396694214876,0.47413793103448276,0.5643564356435643,0.42948717948717946,0.6336633663366337,0.5862068965517241,0.5289256198347108,0.5688073394495413,0.5691056910569106,0.5148514851485149,0.5238095238095238,0.44554455445544555,0.4303030303030303,0.45544554455445546,0.5148514851485149,0.5148514851485149,0.4714285714285714,0.4088050314465409,0.5247524752475248,0.5231788079470199,0.5,0.4878048780487805,0.5131578947368421,0.5247524752475248,0.594059405940594,0.5148514851485149,0.6039603960396039,0.4752475247524752,0.5,0.4807692307692308,0.5742574257425742,0.25742574257425743,0.5042016806722689,0.44554455445544555,0.5346534653465347,0.4551282051282051,0.48366013071895425,0.5384615384615384,0.6138613861386139,0.5041322314049587,0.46534653465346537,0.5321100917431193,0.5346534653465347,0.5445544554455446,0.48255813953488375,0.5126050420168067,0.45806451612903226,0.45544554455445546,0.4393939393939394,0.5378151260504201,0.48514851485148514,0.4594594594594595,0.4752475247524752,0.5467625899280576,0.5555555555555556,0.44554455445544555,0.5982905982905983,0.4628099173553719,0.15841584158415842,0.45806451612903226,0.43564356435643564,0.5148514851485149,0.5288461538461539,0.5102040816326531,0.5247524752475248,0.5871559633027523,0.5138888888888888,0.31683168316831684,0.5445544554455446,0.5630252100840336,0.5445544554455446,0.37623762376237624,0.4426229508196721,0.44970414201183434,0.1188118811881188,0.515625,0.42771084337349397,0.496551724137931
Addictive Diseases,0.5486725663716814,1.0,0.40707964601769914,0.5459770114942529,0.6173913043478261,0.525,0.5905511811023622,0.5752212389380531,0.6012269938650306,0.6379310344827587,0.5234375,0.35398230088495575,0.6216216216216216,0.5929203539823009,0.34513274336283184,0.584070796460177,0.23008849557522124,0.5882352941176471,0.40707964601769914,0.5397727272727273,0.36283185840707965,0.4690265486725664,0.3274336283185841,0.515625,0.39823008849557523,0.6821705426356589,0.4778761061946903,0.5221238938053098,0.4247787610619469,0.4424778761061947,0.6330935251798561,0.6549295774647887,0.6106194690265486,0.6174496644295302,0.5398230088495575,0.5408805031446541,0.5657894736842105,0.5906040268456376,0.6106870229007634,0.3893805309734513,0.48672566371681414,0.5309734513274337,0.5914634146341463,0.5813953488372093,0.5838150289017341,0.34513274336283184,0.6776859504132231,0.6371681415929203,0.415929203539823,0.5575221238938053,0.5238095238095238,0.5973154362416108,0.5,0.4083333333333333,0.5752212389380531,0.49206349206349204,0.35398230088495575,0.6637168141592921,0.6616541353383458,0.5310734463276836,0.5683453237410072,0.6717557251908397,0.5535714285714286,0.4336283185840708,0.39823008849557523,0.6595744680851063,0.5785123966942148,0.603448275862069,0.504424778761062,0.5384615384615384,0.5309734513274337,0.7068965517241379,0.5785123966942148,0.6991150442477876,0.6422764227642277,0.5929203539823009,0.6017699115044248,0.4690265486725664,0.593939393939394,0.39823008849557523,0.4424778761061947,0.415929203539823,0.6,0.5471698113207547,0.46017699115044247,0.6225165562913907,0.631578947368421,0.6422764227642277,0.6052631578947368,0.5398230088495575,0.504424778761062,0.4690265486725664,0.584070796460177,0.5486725663716814,0.6521739130434783,0.6025641025641025,0.5663716814159292,0.3008849557522124,0.5042016806722689,0.40707964601769914,0.6371681415929203,0.6153846153846154,0.6078431372549019,0.6013986013986014,0.5486725663716814,0.6115702479338843,0.4690265486725664,0.5221238938053098,0.5398230088495575,0.5132743362831859,0.5930232558139535,0.5882352941176471,0.5741935483870968,0.4247787610619469,0.5151515151515151,0.6134453781512605,0.49557522123893805,0.4424778761061947,0.46017699115044247,0.6834532374100719,0.6837606837606838,0.36283185840707965,0.6239316239316239,0.6033057851239669,0.17699115044247787,0.5806451612903226,0.3805309734513274,0.5575221238938053,0.6017699115044248,0.6190476190476191,0.49557522123893805,0.6902654867256637,0.6666666666666666,0.2920353982300885,0.6194690265486725,0.6890756302521008,0.39823008849557523,0.40707964601769914,0.5491803278688525,0.5621301775147929,0.13274336283185842,0.6015625,0.5481927710843374,0.6068965517241379
Aerospace Technology,0.5742574257425742,0.40707964601769914,1.0,0.3160919540229885,0.43478260869565216,0.39166666666666666,0.4251968503937008,0.40594059405940597,0.38650306748466257,0.5086206896551724,0.375,0.3780487804878049,0.40540540540540543,0.4095238095238095,0.38271604938271603,0.46601941747572817,0.16,0.42857142857142855,0.5125,0.3125,0.2808988764044944,0.3106796116504854,0.28,0.40625,0.3258426966292135,0.4418604651162791,0.3780487804878049,0.5308641975308642,0.4065934065934066,0.4266666666666667,0.3597122302158273,0.4295774647887324,0.43636363636363634,0.4228187919463087,0.5061728395061729,0.36477987421383645,0.32894736842105265,0.348993288590604,0.3893129770992366,0.32608695652173914,0.49333333333333335,0.32407407407407407,0.3475609756097561,0.3546511627906977,0.35260115606936415,0.36,0.4214876033057851,0.4485981308411215,0.5641025641025641,0.3523809523809524,0.2916666666666667,0.3959731543624161,0.3125,0.3416666666666667,0.5740740740740741,0.3888888888888889,0.29411764705882354,0.45871559633027525,0.41353383458646614,0.3446327683615819,0.33093525179856115,0.45038167938931295,0.3630952380952381,0.4430379746835443,0.41333333333333333,0.3971631205673759,0.39669421487603307,0.4051724137931034,0.5108695652173914,0.3269230769230769,0.6111111111111112,0.5,0.4049586776859504,0.48623853211009177,0.4715447154471545,0.4489795918367347,0.4095238095238095,0.4117647058823529,0.32727272727272727,0.3804347826086957,0.3684210526315789,0.43010752688172044,0.37857142857142856,0.32075471698113206,0.3793103448275862,0.41721854304635764,0.3881578947368421,0.36585365853658536,0.4144736842105263,0.5,0.46,0.43333333333333335,0.4845360824742268,0.43529411764705883,0.39855072463768115,0.34615384615384615,0.4574468085106383,0.18666666666666668,0.3697478991596639,0.4418604651162791,0.39603960396039606,0.36538461538461536,0.38562091503267976,0.4195804195804196,0.48,0.39669421487603307,0.4823529411764706,0.42201834862385323,0.39603960396039606,0.45652173913043476,0.37790697674418605,0.40336134453781514,0.36774193548387096,0.5066666666666667,0.30303030303030304,0.46218487394957986,0.42391304347826086,0.32432432432432434,0.4069767441860465,0.4172661870503597,0.452991452991453,0.43037974683544306,0.46153846153846156,0.33884297520661155,0.2,0.3548387096774194,0.4024390243902439,0.5,0.47115384615384615,0.40816326530612246,0.5256410256410257,0.46788990825688076,0.3819444444444444,0.29333333333333333,0.4421052631578947,0.453781512605042,0.44565217391304346,0.44,0.3524590163934426,0.34911242603550297,0.10666666666666667,0.390625,0.3132530120481928,0.38620689655172413
Agricult & Food Science,0.41379310344827586,0.5459770114942529,0.3160919540229885,1.0,0.4885057471264368,0.5459770114942529,0.5862068965517241,0.4482758620689655,0.7931034482758621,0.5517241379310345,0.5804597701149425,0.3390804597701149,0.7068965517241379,0.4425287356321839,0.3103448275862069,0.5,0.28160919540229884,0.5747126436781609,0.3103448275862069,0.8863636363636364,0.39655172413793105,0.4827586206896552,0.3160919540229885,0.6264367816091954,0.3793103448275862,0.6379310344827587,0.3850574712643678,0.3505747126436782,0.39655172413793105,0.3160919540229885,0.7241379310344828,0.6666666666666666,0.5229885057471264,0.7126436781609196,0.40804597701149425,0.7816091954022989,0.7701149425287356,0.7298850574712644,0.6494252873563219,0.41379310344827586,0.29310344827586204,0.5057471264367817,0.867816091954023,0.8390804597701149,0.867816091954023,0.21839080459770116,0.5459770114942529,0.5287356321839081,0.3275862068965517,0.47701149425287354,0.8218390804597702,0.7298850574712644,0.6896551724137931,0.5632183908045977,0.4827586206896552,0.5402298850574713,0.43103448275862066,0.5172413793103449,0.6264367816091954,0.8248587570621468,0.6609195402298851,0.6264367816091954,0.8218390804597702,0.3275862068965517,0.28735632183908044,0.6896551724137931,0.5574712643678161,0.5402298850574713,0.39080459770114945,0.7471264367816092,0.40804597701149425,0.5574712643678161,0.5574712643678161,0.5057471264367817,0.5632183908045977,0.5057471264367817,0.5459770114942529,0.41954022988505746,0.8275862068965517,0.41379310344827586,0.4482758620689655,0.42528735632183906,0.6666666666666666,0.7816091954022989,0.3448275862068966,0.7011494252873564,0.7011494252873564,0.6264367816091954,0.764367816091954,0.39080459770114945,0.41379310344827586,0.3448275862068966,0.4482758620689655,0.42528735632183906,0.6839080459770115,0.7471264367816092,0.41379310344827586,0.3045977011494253,0.4885057471264368,0.3620689655172414,0.5057471264367817,0.7988505747126436,0.7471264367816092,0.6954022988505747,0.4367816091954023,0.5919540229885057,0.3735632183908046,0.5,0.46551724137931033,0.43103448275862066,0.8275862068965517,0.5689655172413793,0.7241379310344828,0.3390804597701149,0.6206896551724138,0.5689655172413793,0.4367816091954023,0.4942528735632184,0.39655172413793105,0.6724137931034483,0.5459770114942529,0.3563218390804598,0.5459770114942529,0.5862068965517241,0.1206896551724138,0.7701149425287356,0.367816091954023,0.4367816091954023,0.5,0.6724137931034483,0.3333333333333333,0.5114942528735632,0.6781609195402298,0.29310344827586204,0.43103448275862066,0.5747126436781609,0.3735632183908046,0.27011494252873564,0.5804597701149425,0.8218390804597702,0.09195402298850575,0.6091954022988506,0.8563218390804598,0.7068965517241379
Allergy,0.6086956521739131,0.6173913043478261,0.43478260869565216,0.4885057471264368,1.0,0.5583333333333333,0.6220472440944882,0.591304347826087,0.5644171779141104,0.6379310344827587,0.578125,0.3217391304347826,0.581081081081081,0.6521739130434783,0.3739130434782609,0.6086956521739131,0.24347826086956523,0.6302521008403361,0.45217391304347826,0.5227272727272727,0.4260869565217391,0.5304347826086957,0.3652173913043478,0.5546875,0.45217391304347826,0.6046511627906976,0.46956521739130436,0.5391304347826087,0.48695652173913045,0.43478260869565216,0.5971223021582733,0.647887323943662,0.5826086956521739,0.6040268456375839,0.4782608695652174,0.5283018867924528,0.5328947368421053,0.5369127516778524,0.549618320610687,0.40869565217391307,0.5217391304347826,0.5739130434782609,0.5121951219512195,0.5813953488372093,0.5549132947976878,0.30434782608695654,0.6859504132231405,0.6173913043478261,0.43478260869565216,0.5826086956521739,0.4880952380952381,0.5570469798657718,0.4861111111111111,0.44166666666666665,0.6260869565217392,0.5396825396825397,0.391304347826087,0.6173913043478261,0.6015037593984962,0.519774011299435,0.5899280575539568,0.6030534351145038,0.5297619047619048,0.5304347826086957,0.3826086956521739,0.5815602836879432,0.6611570247933884,0.5603448275862069,0.5478260869565217,0.5641025641025641,0.5739130434782609,0.646551724137931,0.5454545454545454,0.6347826086956522,0.6504065040650406,0.5391304347826087,0.5478260869565217,0.4434782608695652,0.5212121212121212,0.3739130434782609,0.391304347826087,0.4,0.55,0.5220125786163522,0.5478260869565217,0.5695364238410596,0.625,0.5772357723577236,0.5328947368421053,0.5478260869565217,0.591304347826087,0.5304347826086957,0.5826086956521739,0.48695652173913045,0.6231884057971014,0.5769230769230769,0.6086956521739131,0.33043478260869563,0.5798319327731093,0.43478260869565216,0.5391304347826087,0.5576923076923077,0.6078431372549019,0.5874125874125874,0.6173913043478261,0.628099173553719,0.4260869565217391,0.48695652173913045,0.5739130434782609,0.5043478260869565,0.5465116279069767,0.6554621848739496,0.6129032258064516,0.4434782608695652,0.5227272727272727,0.6386554621848739,0.5565217391304348,0.43478260869565216,0.40869565217391307,0.6258992805755396,0.6324786324786325,0.3826086956521739,0.6581196581196581,0.5702479338842975,0.19130434782608696,0.567741935483871,0.4608695652173913,0.5478260869565217,0.5826086956521739,0.673469387755102,0.48695652173913045,0.6260869565217392,0.6388888888888888,0.3217391304347826,0.5304347826086957,0.6386554621848739,0.48695652173913045,0.3826086956521739,0.5655737704918032,0.5325443786982249,0.11304347826086956,0.6640625,0.5240963855421686,0.5862068965517241
Analytical Chemistry,0.5333333333333333,0.525,0.39166666666666666,0.5459770114942529,0.5583333333333333,1.0,0.6141732283464567,0.48333333333333334,0.5521472392638037,0.6333333333333333,0.6484375,0.5166666666666667,0.5945945945945946,0.5416666666666666,0.4166666666666667,0.5166666666666667,0.24166666666666667,0.6166666666666667,0.425,0.5511363636363636,0.4,0.55,0.38333333333333336,0.703125,0.5583333333333333,0.6046511627906976,0.38333333333333336,0.36666666666666664,0.5,0.3,0.60431654676259,0.5492957746478874,0.525,0.6040268456375839,0.38333333333333336,0.5408805031446541,0.5,0.5436241610738255,0.5419847328244275,0.48333333333333334,0.3333333333333333,0.525,0.5426829268292683,0.5523255813953488,0.5664739884393064,0.225,0.5289256198347108,0.525,0.44166666666666665,0.55,0.5178571428571429,0.5503355704697986,0.5277777777777778,0.6916666666666667,0.6083333333333333,0.6507936507936508,0.5333333333333333,0.5166666666666667,0.5338345864661654,0.5536723163841808,0.5323741007194245,0.5801526717557252,0.5535714285714286,0.39166666666666666,0.2916666666666667,0.5531914893617021,0.5950413223140496,0.5083333333333333,0.4166666666666667,0.4807692307692308,0.475,0.575,0.6776859504132231,0.49166666666666664,0.5609756097560976,0.4666666666666667,0.525,0.4,0.5151515151515151,0.575,0.5583333333333333,0.6083333333333333,0.5214285714285715,0.559748427672956,0.44166666666666665,0.5496688741721855,0.5855263157894737,0.5365853658536586,0.5986842105263158,0.4083333333333333,0.49166666666666664,0.45,0.4583333333333333,0.43333333333333335,0.5434782608695652,0.5384615384615384,0.49166666666666664,0.325,0.625,0.5333333333333333,0.45,0.5256410256410257,0.5882352941176471,0.5594405594405595,0.5083333333333333,0.5702479338842975,0.5416666666666666,0.6416666666666667,0.5166666666666667,0.475,0.5523255813953488,0.6,0.5548387096774193,0.2916666666666667,0.5833333333333334,0.675,0.4583333333333333,0.6166666666666667,0.49166666666666664,0.5539568345323741,0.575,0.5166666666666667,0.5583333333333333,0.5289256198347108,0.13333333333333333,0.5096774193548387,0.475,0.425,0.48333333333333334,0.5782312925170068,0.3416666666666667,0.5,0.5347222222222222,0.2833333333333333,0.4166666666666667,0.5666666666666667,0.5833333333333334,0.275,0.5901639344262295,0.5088757396449705,0.058333333333333334,0.6171875,0.5662650602409639,0.5793103448275863
Anatomy & Morphology,0.5433070866141733,0.5905511811023622,0.4251968503937008,0.5862068965517241,0.6220472440944882,0.6141732283464567,1.0,0.5433070866141733,0.6257668711656442,0.7007874015748031,0.65625,0.33070866141732286,0.6486486486486487,0.5748031496062992,0.3700787401574803,0.5826771653543307,0.18110236220472442,0.6535433070866141,0.44881889763779526,0.5852272727272727,0.30708661417322836,0.36220472440944884,0.3543307086614173,0.6171875,0.4409448818897638,0.6589147286821705,0.44881889763779526,0.4881889763779528,0.4094488188976378,0.4251968503937008,0.697841726618705,0.6901408450704225,0.5196850393700787,0.6174496644295302,0.4330708661417323,0.5283018867924528,0.5328947368421053,0.5637583892617449,0.5801526717557252,0.3858267716535433,0.49606299212598426,0.44881889763779526,0.573170731707317,0.5930232558139535,0.5838150289017341,0.30708661417322836,0.7244094488188977,0.6456692913385826,0.4251968503937008,0.5275590551181102,0.5119047619047619,0.6577181208053692,0.4513888888888889,0.5039370078740157,0.6929133858267716,0.6062992125984252,0.3937007874015748,0.6220472440944882,0.6390977443609023,0.6045197740112994,0.5179856115107914,0.6564885496183206,0.5833333333333334,0.4645669291338583,0.3858267716535433,0.6099290780141844,0.5748031496062992,0.5590551181102362,0.5275590551181102,0.4935897435897436,0.5748031496062992,0.6141732283464567,0.6456692913385826,0.6220472440944882,0.6771653543307087,0.44881889763779526,0.5433070866141733,0.3700787401574803,0.5757575757575758,0.4015748031496063,0.4645669291338583,0.4566929133858268,0.5142857142857142,0.5911949685534591,0.5984251968503937,0.6225165562913907,0.6973684210526315,0.5748031496062992,0.6052631578947368,0.4881889763779528,0.6299212598425197,0.5826771653543307,0.5748031496062992,0.4566929133858268,0.6159420289855072,0.6153846153846154,0.5590551181102362,0.2283464566929134,0.5826771653543307,0.49606299212598426,0.4881889763779528,0.6217948717948718,0.6405228758169934,0.6153846153846154,0.6299212598425197,0.5748031496062992,0.3779527559055118,0.5196850393700787,0.47244094488188976,0.4645669291338583,0.6337209302325582,0.5748031496062992,0.6,0.4881889763779528,0.5075757575757576,0.7559055118110236,0.5275590551181102,0.4645669291338583,0.47244094488188976,0.6834532374100719,0.6062992125984252,0.3543307086614173,0.6220472440944882,0.5196850393700787,0.2125984251968504,0.5548387096774193,0.3464566929133858,0.5196850393700787,0.5669291338582677,0.6190476190476191,0.5354330708661418,0.5984251968503937,0.6388888888888888,0.4330708661417323,0.5275590551181102,0.5984251968503937,0.44881889763779526,0.4251968503937008,0.47244094488188976,0.5621301775147929,0.14173228346456693,0.6171875,0.6144578313253012,0.6
Anesthesiology,0.5346534653465347,0.5752212389380531,0.40594059405940597,0.4482758620689655,0.591304347826087,0.48333333333333334,0.5433070866141733,1.0,0.5337423312883436,0.5,0.5,0.32673267326732675,0.5,0.6952380952380952,0.32673267326732675,0.6407766990291263,0.21782178217821782,0.5210084033613446,0.40594059405940597,0.45454545454545453,0.44554455445544555,0.5242718446601942,0.4158415841584158,0.4453125,0.39603960396039606,0.5658914728682171,0.5148514851485149,0.504950495049505,0.38613861386138615,0.40594059405940597,0.5611510791366906,0.5774647887323944,0.5727272727272728,0.5771812080536913,0.5247524752475248,0.49056603773584906,0.5197368421052632,0.5302013422818792,0.5801526717557252,0.39603960396039606,0.44554455445544555,0.6111111111111112,0.4695121951219512,0.5348837209302325,0.5260115606936416,0.3564356435643564,0.5867768595041323,0.5794392523364486,0.4158415841584158,0.6952380952380952,0.4880952380952381,0.4966442953020134,0.4583333333333333,0.38333333333333336,0.4537037037037037,0.4603174603174603,0.3333333333333333,0.5504587155963303,0.5488721804511278,0.4745762711864407,0.5251798561151079,0.6030534351145038,0.5119047619047619,0.42574257425742573,0.43564356435643564,0.5531914893617021,0.628099173553719,0.5862068965517241,0.504950495049505,0.5192307692307693,0.4752475247524752,0.5689655172413793,0.49586776859504134,0.5779816513761468,0.6504065040650406,0.5841584158415841,0.6190476190476191,0.5148514851485149,0.48484848484848486,0.33663366336633666,0.4158415841584158,0.43564356435643564,0.5214285714285715,0.5220125786163522,0.504950495049505,0.5364238410596026,0.5855263157894737,0.5528455284552846,0.5131578947368421,0.49504950495049505,0.5148514851485149,0.42574257425742573,0.5346534653465347,0.5544554455445545,0.5797101449275363,0.5256410256410257,0.594059405940594,0.33663366336633666,0.4369747899159664,0.45544554455445546,0.5643564356435643,0.5384615384615384,0.6078431372549019,0.5314685314685315,0.5148514851485149,0.6198347107438017,0.42574257425742573,0.5045871559633027,0.6732673267326733,0.6237623762376238,0.5,0.6386554621848739,0.5741935483870968,0.39603960396039606,0.4772727272727273,0.5126050420168067,0.504950495049505,0.36936936936936937,0.504950495049505,0.5683453237410072,0.6068376068376068,0.37623762376237624,0.5641025641025641,0.5950413223140496,0.16831683168316833,0.5290322580645161,0.5841584158415841,0.5841584158415841,0.5769230769230769,0.5918367346938775,0.43564356435643564,0.5871559633027523,0.5694444444444444,0.31683168316831684,0.5544554455445545,0.5798319327731093,0.39603960396039606,0.38613861386138615,0.6065573770491803,0.4911242603550296,0.13861386138613863,0.65625,0.5301204819277109,0.5724137931034483
Anthropology and Archaeology,0.49693251533742333,0.6012269938650306,0.38650306748466257,0.7931034482758621,0.5644171779141104,0.5521472392638037,0.6257668711656442,0.5337423312883436,1.0,0.5828220858895705,0.6257668711656442,0.3312883435582822,0.7730061349693251,0.5337423312883436,0.3312883435582822,0.5644171779141104,0.26380368098159507,0.5705521472392638,0.4049079754601227,0.7897727272727273,0.4110429447852761,0.48466257668711654,0.3128834355828221,0.5950920245398773,0.3987730061349693,0.6687116564417178,0.44785276073619634,0.4662576687116564,0.4233128834355828,0.38650306748466257,0.7239263803680982,0.754601226993865,0.5644171779141104,0.7484662576687117,0.4601226993865031,0.7914110429447853,0.7730061349693251,0.754601226993865,0.7177914110429447,0.4294478527607362,0.38650306748466257,0.5276073619631901,0.8353658536585366,0.7965116279069767,0.8208092485549133,0.26993865030674846,0.6134969325153374,0.5705521472392638,0.3803680981595092,0.5276073619631901,0.7857142857142857,0.7668711656441718,0.6871165644171779,0.49693251533742333,0.5398773006134969,0.6012269938650306,0.38650306748466257,0.6012269938650306,0.7239263803680982,0.7909604519774012,0.6748466257668712,0.7300613496932515,0.8214285714285714,0.4110429447852761,0.37423312883435583,0.7300613496932515,0.5766871165644172,0.6380368098159509,0.43558282208588955,0.7607361963190185,0.4723926380368098,0.6380368098159509,0.588957055214724,0.6134969325153374,0.6809815950920245,0.5644171779141104,0.5828220858895705,0.43558282208588955,0.8242424242424242,0.37423312883435583,0.4294478527607362,0.4171779141104294,0.7423312883435583,0.754601226993865,0.4049079754601227,0.7791411042944786,0.7607361963190185,0.656441717791411,0.7668711656441718,0.48466257668711654,0.5030674846625767,0.4233128834355828,0.5337423312883436,0.4723926380368098,0.754601226993865,0.803680981595092,0.4785276073619632,0.294478527607362,0.50920245398773,0.38650306748466257,0.5460122699386503,0.7914110429447853,0.7914110429447853,0.7484662576687117,0.5030674846625767,0.6319018404907976,0.4049079754601227,0.5276073619631901,0.50920245398773,0.4723926380368098,0.7965116279069767,0.588957055214724,0.7730061349693251,0.4294478527607362,0.5950920245398773,0.5950920245398773,0.5030674846625767,0.4539877300613497,0.44785276073619634,0.7484662576687117,0.6503067484662577,0.3374233128834356,0.6196319018404908,0.6257668711656442,0.1656441717791411,0.7975460122699386,0.3987730061349693,0.50920245398773,0.5828220858895705,0.7607361963190185,0.4233128834355828,0.6134969325153374,0.754601226993865,0.2822085889570552,0.5460122699386503,0.656441717791411,0.4171779141104294,0.3312883435582822,0.588957055214724,0.7928994082840237,0.09815950920245399,0.6380368098159509,0.8012048192771084,0.7361963190184049
Applied Chemistry,0.6120689655172413,0.6379310344827587,0.5086206896551724,0.5517241379310345,0.6379310344827587,0.6333333333333333,0.7007874015748031,0.5,0.5828220858895705,1.0,0.6171875,0.43103448275862066,0.6148648648648649,0.5258620689655172,0.3879310344827586,0.5258620689655172,0.1724137931034483,0.6386554621848739,0.5172413793103449,0.5511363636363636,0.3103448275862069,0.43103448275862066,0.33620689655172414,0.6015625,0.4827586206896552,0.6124031007751938,0.3793103448275862,0.4827586206896552,0.4224137931034483,0.3706896551724138,0.6187050359712231,0.6197183098591549,0.5,0.5704697986577181,0.4827586206896552,0.5534591194968553,0.5,0.5033557046979866,0.5190839694656488,0.41379310344827586,0.4482758620689655,0.43103448275862066,0.5609756097560976,0.5465116279069767,0.5606936416184971,0.2413793103448276,0.6363636363636364,0.6120689655172413,0.46551724137931033,0.5,0.49404761904761907,0.5771812080536913,0.4722222222222222,0.5416666666666666,0.7155172413793104,0.5793650793650794,0.46551724137931033,0.5862068965517241,0.5789473684210527,0.5423728813559322,0.49640287769784175,0.5801526717557252,0.5714285714285714,0.4482758620689655,0.3706896551724138,0.5957446808510638,0.5950413223140496,0.5172413793103449,0.5,0.4935897435897436,0.5948275862068966,0.6637931034482759,0.6942148760330579,0.646551724137931,0.6422764227642277,0.5172413793103449,0.5086206896551724,0.39655172413793105,0.503030303030303,0.5086206896551724,0.5431034482758621,0.5517241379310345,0.5071428571428571,0.5471698113207547,0.4827586206896552,0.5761589403973509,0.5921052631578947,0.5528455284552846,0.618421052631579,0.47413793103448276,0.5603448275862069,0.5517241379310345,0.49137931034482757,0.4224137931034483,0.5869565217391305,0.5641025641025641,0.5086206896551724,0.1896551724137931,0.5798319327731093,0.5344827586206896,0.47413793103448276,0.5833333333333334,0.5816993464052288,0.5944055944055944,0.5862068965517241,0.5785123966942148,0.4396551724137931,0.6379310344827587,0.5,0.46551724137931033,0.5988372093023255,0.5630252100840336,0.5225806451612903,0.4396551724137931,0.5,0.7310924369747899,0.4827586206896552,0.5344827586206896,0.4482758620689655,0.6115107913669064,0.5811965811965812,0.43103448275862066,0.6239316239316239,0.4793388429752066,0.1810344827586207,0.535483870967742,0.3793103448275862,0.49137931034482757,0.5689655172413793,0.5714285714285714,0.46551724137931033,0.5775862068965517,0.5694444444444444,0.33620689655172414,0.5086206896551724,0.6050420168067226,0.49137931034482757,0.3620689655172414,0.4918032786885246,0.5384615384615384,0.05172413793103448,0.609375,0.5481927710843374,0.5379310344827586
