,Acoustics,Addictive Diseases,Aerospace Technology,Agricult & Food Science,Allergy,Analytical Chemistry,Anatomy & Morphology,Anesthesiology,Anthropology and Archaeology,Applied Chemistry,Applied Mathematics,Applied Physics,Area Studies,Arthritis & Rheumatology,Astronomy & Astrophysics,Behavioral Science & Complementary Psychology,Biochemistry & Molecular Biology,Biomedical Engineering,Biophysics,Botany,Cancer,Cardiovascular System,Cellular Biology Cytology & Histology,Chemical Engineering,Chemical Physics,Civil Engineering,Clinical Psychology,Communication,Computers,Criminology,Dairy & Animal Science,Demography,Dentistry,Dermatology & Venerial Disease,Developmental & Child Psychology,Earth & planetary Science,Ecology,Economics,Education,Electrical Engineering & Electronics,Embryology,Endocrinology,Entomology,Environmental & Occupational Health,Environmental Science,Experimental Psychology,Fertility,Fine Arts & Architecture,Fluids & Plasmas,Gastroenterology,General & Internal Medicine,General Biology,General Biomedical Research,General Chemistry,General Engineering,General Mathematics,General Physics,General Psychology,General Social Sciences,General Zoology,Genetics & Heredity,Geography,Geology,Geriatrics,Geriatrics & Gerontology,Health Policy & Services,Hematology,History,Human Factors,Immunology,Industrial Engineering,Information Science & Library Science,Inorganic & Nuclear Chemistry,International Relations,Language & Linguistics,Law,Literature,Management,Marine Biology & Hydrobiology,Materials Science,Mechanical Engineering,Metals & Metallurgy,Meteorology & Atmospheric Science,Microbiology,Microscopy,Miscellaneous Biology,Miscellaneous Biomedical Research,Miscellaneous Clinical Medicine,Miscellaneous Engineering & Technology,Miscellaneous Humanities,Miscellaneous Mathematics,Miscellaneous Physics,Miscellaneous Professional Field,Miscellaneous Psychology,Miscellaneous Social Sciences,Miscellaneous Zoology,Nephrology,Neurology & Neurosurgery,Nuclear & Particle Physics,Nuclear Technology,Nursing,Nutrition & Dietetic,Obstetrics & Gynecology,Oceanography & Limnology,Operations Research,Ophthalmology,Optics,Organic Chemistry,Orthopedics,Otorhinolaryngology,Parasitology,Pathology,Pediatrics,Performing Arts,Pharmacology,Pharmacy,Philosophy,Physical Chemistry,Physiology,Planning & Urban Studies,Political Science and Public Administration,Polymers,Probability & Statistics,Psychiatry,Psychoanalysis,Public Health,Radiology & Nuclear Medicine,Rehabilitation,Religion,Respiratory System,Science studies,Social Psychology,"Social Sciences, Biomedical",Social Studies of Medicine,Social Work,Sociology,Solid State Physics,Speech-Language Pathology and Audiology,Surgery,Tropical Medicine,Unknown,Urology,Veterinary Medicine,Virology
Acoustics,1.0,0.5925925925925926,0.4074074074074074,0.42857142857142855,0.6764705882352942,0.4074074074074074,0.45161290322580644,0.6666666666666666,0.5,0.5185185185185185,0.48148148148148145,0.18518518518518517,0.6296296296296297,0.5555555555555556,0.42857142857142855,0.5185185185185185,0.37037037037037035,0.4074074074074074,0.48148148148148145,0.46153846153846156,0.4074074074074074,0.6896551724137931,0.37037037037037035,0.48148148148148145,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6296296296296297,0.5925925925925926,0.4074074074074074,0.5925925925925926,0.7241379310344828,0.6296296296296297,0.65625,0.5185185185185185,0.5151515151515151,0.5142857142857142,0.5675675675675675,0.6428571428571429,0.5185185185185185,0.6296296296296297,0.6176470588235294,0.5185185185185185,0.6451612903225806,0.5128205128205128,0.48148148148148145,0.6875,0.4444444444444444,0.48148148148148145,0.5185185185185185,0.4166666666666667,0.37037037037037035,0.3333333333333333,0.07407407407407407,0.5925925925925926,0.48148148148148145,0.25925925925925924,0.6296296296296297,0.5925925925925926,0.4473684210526316,0.4878048780487805,0.6071428571428571,0.4473684210526316,0.696969696969697,0.5185185185185185,0.48148148148148145,0.6363636363636364,0.48148148148148145,0.75,0.5294117647058824,0.5925925925925926,0.6296296296296297,0.2962962962962963,0.6666666666666666,0.59375,0.25925925925925924,0.5185185185185185,0.6666666666666666,0.5,0.2962962962962963,0.37037037037037035,0.2222222222222222,0.5555555555555556,0.4411764705882353,0.6428571428571429,0.5526315789473685,0.5121951219512195,0.6428571428571429,0.5555555555555556,0.5555555555555556,0.5925925925925926,0.5185185185185185,0.6774193548387096,0.48148148148148145,0.5925925925925926,0.6,0.5925925925925926,0.3333333333333333,0.40625,0.37037037037037035,0.5555555555555556,0.6285714285714286,0.6451612903225806,0.5294117647058824,0.6071428571428571,0.48148148148148145,0.25925925925925924,0.25925925925925924,0.5185185185185185,0.5185185185185185,0.53125,0.5185185185185185,0.6551724137931034,0.5555555555555556,0.48148148148148145,0.4444444444444444,0.4074074074074074,0.2222222222222222,0.5555555555555556,0.6875,0.6071428571428571,0.4444444444444444,0.7037037037037037,0.5555555555555556,0.18518518518518517,0.6428571428571429,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.71875,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.2962962962962963,0.6666666666666666,0.5185185185185185,0.4444444444444444,0.5925925925925926,0.3333333333333333,0.5185185185185185,0.2222222222222222,0.5555555555555556,0.4074074074074074,0.6296296296296297
Addictive Diseases,0.5925925925925926,1.0,0.35,0.42857142857142855,0.4411764705882353,0.3076923076923077,0.3870967741935484,0.5333333333333333,0.47058823529411764,0.45454545454545453,0.28,0.1,0.5217391304347826,0.4722222222222222,0.25,0.56,0.25,0.42857142857142855,0.47619047619047616,0.38461538461538464,0.3181818181818182,0.41379310344827586,0.25,0.5,0.25925925925925924,0.5,0.55,0.6086956521739131,0.4444444444444444,0.55,0.52,0.5517241379310345,0.375,0.375,0.6,0.42424242424242425,0.45714285714285713,0.43243243243243246,0.5357142857142857,0.44,0.5,0.38235294117647056,0.46153846153846156,0.5161290322580645,0.4358974358974359,0.55,0.5625,0.5,0.35,0.36,0.3888888888888889,0.47619047619047616,0.2727272727272727,0.05,0.45454545454545453,0.3333333333333333,0.15,0.5555555555555556,0.6,0.39473684210526316,0.4146341463414634,0.5357142857142857,0.3684210526315789,0.5151515151515151,0.7,0.6190476190476191,0.42424242424242425,0.48148148148148145,0.5714285714285714,0.38235294117647056,0.5,0.6521739130434783,0.35,0.65,0.53125,0.3,0.5714285714285714,0.5769230769230769,0.5,0.25,0.25,0.2,0.5833333333333334,0.38235294117647056,0.32142857142857145,0.47368421052631576,0.4634146341463415,0.5714285714285714,0.52,0.5454545454545454,0.44,0.34782608695652173,0.5483870967741935,0.6,0.5833333333333334,0.5333333333333333,0.4444444444444444,0.4,0.25,0.3181818181818182,0.8,0.5142857142857142,0.41935483870967744,0.47058823529411764,0.39285714285714285,0.4,0.3,0.2,0.4782608695652174,0.42857142857142855,0.46875,0.38461538461538464,0.4827586206896552,0.5,0.34615384615384615,0.4,0.4,0.15,0.48,0.59375,0.5,0.35,0.5,0.5185185185185185,0.15,0.5357142857142857,0.3,0.6363636363636364,0.55,0.5625,0.5909090909090909,0.6363636363636364,0.6666666666666666,0.2,0.6956521739130435,0.6,0.3333333333333333,0.7,0.38095238095238093,0.36363636363636365,0.2,0.4583333333333333,0.36,0.48
Aerospace Technology,0.4074074074074074,0.35,1.0,0.25,0.29411764705882354,0.2692307692307692,0.3225806451612903,0.2,0.3235294117647059,0.36363636363636365,0.2,0.2857142857142857,0.43478260869565216,0.2222222222222222,0.21428571428571427,0.28,0.25,0.3333333333333333,0.38095238095238093,0.20512820512820512,0.2727272727272727,0.3103448275862069,0.3,0.3,0.25925925925925924,0.3,0.3333333333333333,0.34782608695652173,0.2962962962962963,0.3333333333333333,0.24,0.3448275862068966,0.4166666666666667,0.375,0.3888888888888889,0.2727272727272727,0.2857142857142857,0.32432432432432434,0.35714285714285715,0.36,0.5,0.29411764705882354,0.3076923076923077,0.25806451612903225,0.20512820512820512,0.3888888888888889,0.34375,0.36363636363636365,0.5,0.32,0.2222222222222222,0.3333333333333333,0.22727272727272727,0.14285714285714285,0.4090909090909091,0.25925925925925924,0.3157894736842105,0.3333333333333333,0.36,0.23684210526315788,0.24390243902439024,0.35714285714285715,0.2631578947368421,0.36363636363636365,0.3888888888888889,0.2857142857142857,0.3333333333333333,0.2962962962962963,0.32142857142857145,0.29411764705882354,0.47368421052631576,0.391304347826087,0.3157894736842105,0.45,0.28125,0.35714285714285715,0.2857142857142857,0.3076923076923077,0.2222222222222222,0.3125,0.29411764705882354,0.2857142857142857,0.2916666666666667,0.17647058823529413,0.25,0.2631578947368421,0.2682926829268293,0.2857142857142857,0.32,0.36363636363636365,0.32,0.34782608695652173,0.3548387096774194,0.4444444444444444,0.3333333333333333,0.23333333333333334,0.2962962962962963,0.3,0.21875,0.2727272727272727,0.35294117647058826,0.2857142857142857,0.3225806451612903,0.2647058823529412,0.32142857142857145,0.42105263157894735,0.2857142857142857,0.35294117647058826,0.2608695652173913,0.38095238095238093,0.28125,0.38461538461538464,0.3103448275862069,0.34615384615384615,0.3076923076923077,0.45,0.3,0.125,0.2,0.3125,0.35714285714285715,0.3888888888888889,0.375,0.2962962962962963,0.2857142857142857,0.2857142857142857,0.23529411764705882,0.4090909090909091,0.42105263157894735,0.34375,0.36363636363636365,0.45454545454545453,0.37037037037037035,0.11764705882352941,0.43478260869565216,0.42105263157894735,0.2916666666666667,0.35,0.2857142857142857,0.2727272727272727,0.14285714285714285,0.3333333333333333,0.2,0.28
Agricult & Food Science,0.42857142857142855,0.42857142857142855,0.25,1.0,0.38235294117647056,0.5714285714285714,0.5483870967741935,0.4,0.6176470588235294,0.5,0.4642857142857143,0.25,0.39285714285714285,0.4722222222222222,0.4642857142857143,0.39285714285714285,0.35714285714285715,0.2857142857142857,0.32142857142857145,0.6153846153846154,0.25,0.41379310344827586,0.21428571428571427,0.35714285714285715,0.4642857142857143,0.5666666666666667,0.2857142857142857,0.2857142857142857,0.5,0.2857142857142857,0.6071428571428571,0.4482758620689655,0.35714285714285715,0.375,0.2857142857142857,0.48484848484848486,0.5428571428571428,0.5945945945945946,0.5,0.5357142857142857,0.32142857142857145,0.5,0.6785714285714286,0.45161290322580644,0.5897435897435898,0.21428571428571427,0.5,0.42857142857142855,0.25,0.35714285714285715,0.5,0.42857142857142855,0.21428571428571427,0.17857142857142858,0.39285714285714285,0.6071428571428571,0.35714285714285715,0.5,0.5357142857142857,0.5789473684210527,0.4634146341463415,0.4642857142857143,0.6052631578947368,0.45454545454545453,0.25,0.39285714285714285,0.42424242424242425,0.5714285714285714,0.42857142857142855,0.4411764705882353,0.2857142857142857,0.39285714285714285,0.42857142857142855,0.2857142857142857,0.4375,0.14285714285714285,0.4642857142857143,0.4642857142857143,0.6388888888888888,0.32142857142857145,0.35714285714285715,0.21428571428571427,0.39285714285714285,0.4411764705882353,0.39285714285714285,0.5263157894736842,0.4878048780487805,0.5,0.5357142857142857,0.4642857142857143,0.42857142857142855,0.2857142857142857,0.5161290322580645,0.32142857142857145,0.42857142857142855,0.6333333333333333,0.39285714285714285,0.2857142857142857,0.5625,0.32142857142857145,0.32142857142857145,0.5714285714285714,0.41935483870967744,0.6470588235294118,0.5,0.2857142857142857,0.25,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.625,0.42857142857142855,0.3793103448275862,0.5,0.42857142857142855,0.39285714285714285,0.35714285714285715,0.32142857142857145,0.4642857142857143,0.5,0.5357142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.10714285714285714,0.39285714285714285,0.17857142857142858,0.42857142857142855,0.32142857142857145,0.46875,0.39285714285714285,0.35714285714285715,0.42857142857142855,0.17857142857142858,0.42857142857142855,0.32142857142857145,0.35714285714285715,0.25,0.32142857142857145,0.35714285714285715,0.07142857142857142,0.32142857142857145,0.6428571428571429,0.35714285714285715
Allergy,0.6764705882352942,0.4411764705882353,0.29411764705882354,0.38235294117647056,1.0,0.47058823529411764,0.5294117647058824,0.6470588235294118,0.6176470588235294,0.4411764705882353,0.47058823529411764,0.23529411764705882,0.47058823529411764,0.75,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.4411764705882353,0.47058823529411764,0.5897435897435898,0.5294117647058824,0.7647058823529411,0.4411764705882353,0.4117647058823529,0.5588235294117647,0.5882352941176471,0.35294117647058826,0.5,0.6176470588235294,0.4117647058823529,0.5,0.6764705882352942,0.47058823529411764,0.7647058823529411,0.4117647058823529,0.6176470588235294,0.6285714285714286,0.6486486486486487,0.5,0.4411764705882353,0.5,0.7058823529411765,0.4411764705882353,0.7058823529411765,0.6666666666666666,0.38235294117647056,0.7058823529411765,0.4411764705882353,0.38235294117647056,0.5882352941176471,0.5555555555555556,0.29411764705882354,0.4117647058823529,0.17647058823529413,0.4411764705882353,0.5294117647058824,0.3235294117647059,0.5882352941176471,0.4411764705882353,0.5789473684210527,0.6829268292682927,0.5294117647058824,0.6052631578947368,0.7941176470588235,0.4117647058823529,0.4117647058823529,0.7941176470588235,0.47058823529411764,0.5882352941176471,0.6764705882352942,0.4117647058823529,0.4411764705882353,0.3235294117647059,0.47058823529411764,0.7058823529411765,0.2647058823529412,0.35294117647058826,0.5294117647058824,0.5555555555555556,0.23529411764705882,0.2647058823529412,0.23529411764705882,0.5294117647058824,0.6176470588235294,0.6470588235294118,0.6842105263157895,0.6585365853658537,0.5294117647058824,0.47058823529411764,0.5,0.47058823529411764,0.5294117647058824,0.6176470588235294,0.4117647058823529,0.5,0.5882352941176471,0.6764705882352942,0.47058823529411764,0.6470588235294118,0.4411764705882353,0.35294117647058826,0.6857142857142857,0.6764705882352942,0.6470588235294118,0.5588235294117647,0.38235294117647056,0.2647058823529412,0.3235294117647059,0.5294117647058824,0.4411764705882353,0.5588235294117647,0.5,0.6176470588235294,0.5,0.5,0.35294117647058826,0.38235294117647056,0.23529411764705882,0.47058823529411764,0.6470588235294118,0.5588235294117647,0.29411764705882354,0.5,0.5588235294117647,0.23529411764705882,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.47058823529411764,0.7647058823529411,0.5,0.5,0.6176470588235294,0.3235294117647059,0.47058823529411764,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.4411764705882353,0.4411764705882353,0.20588235294117646,0.5882352941176471,0.4411764705882353,0.5294117647058824
Analytical Chemistry,0.4074074074074074,0.3076923076923077,0.2692307692307692,0.5714285714285714,0.47058823529411764,1.0,0.5806451612903226,0.4,0.5294117647058824,0.6153846153846154,0.5769230769230769,0.3076923076923077,0.4230769230769231,0.4722222222222222,0.4642857142857143,0.4230769230769231,0.34615384615384615,0.5384615384615384,0.34615384615384615,0.5128205128205128,0.34615384615384615,0.4827586206896552,0.34615384615384615,0.46153846153846156,0.7407407407407407,0.43333333333333335,0.15384615384615385,0.34615384615384615,0.6296296296296297,0.23076923076923078,0.46153846153846156,0.41379310344827586,0.34615384615384615,0.4375,0.15384615384615385,0.42424242424242425,0.4857142857142857,0.4864864864864865,0.39285714285714285,0.5384615384615384,0.38461538461538464,0.5,0.5384615384615384,0.41935483870967744,0.5384615384615384,0.19230769230769232,0.4375,0.4230769230769231,0.34615384615384615,0.5769230769230769,0.4444444444444444,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.5384615384615384,0.6666666666666666,0.46153846153846156,0.5185185185185185,0.38461538461538464,0.5263157894736842,0.4634146341463415,0.42857142857142855,0.5,0.48484848484848486,0.3076923076923077,0.34615384615384615,0.45454545454545453,0.4444444444444444,0.39285714285714285,0.4411764705882353,0.38461538461538464,0.4230769230769231,0.5,0.2692307692307692,0.46875,0.23076923076923078,0.38461538461538464,0.46153846153846156,0.5,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.34615384615384615,0.5294117647058824,0.5357142857142857,0.5,0.4878048780487805,0.35714285714285715,0.5,0.4230769230769231,0.5,0.46153846153846156,0.45161290322580644,0.2692307692307692,0.5,0.5333333333333333,0.48148148148148145,0.2692307692307692,0.59375,0.5384615384615384,0.15384615384615385,0.45714285714285713,0.41935483870967744,0.4411764705882353,0.5357142857142857,0.34615384615384615,0.3076923076923077,0.5384615384615384,0.38461538461538464,0.34615384615384615,0.53125,0.5769230769230769,0.3793103448275862,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.34615384615384615,0.4230769230769231,0.46153846153846156,0.40625,0.5714285714285714,0.5384615384615384,0.38461538461538464,0.37037037037037035,0.15384615384615385,0.42857142857142855,0.34615384615384615,0.2692307692307692,0.34615384615384615,0.4375,0.3076923076923077,0.34615384615384615,0.3333333333333333,0.34615384615384615,0.38461538461538464,0.23076923076923078,0.6153846153846154,0.3076923076923077,0.46153846153846156,0.4230769230769231,0.0,0.5384615384615384,0.5,0.4230769230769231
Anatomy & Morphology,0.45161290322580644,0.3870967741935484,0.3225806451612903,0.5483870967741935,0.5294117647058824,0.5806451612903226,1.0,0.5806451612903226,0.6470588235294118,0.45161290322580644,0.5161290322580645,0.2903225806451613,0.5161290322580645,0.5555555555555556,0.5806451612903226,0.45161290322580644,0.25806451612903225,0.45161290322580644,0.3548387096774194,0.5128205128205128,0.25806451612903225,0.41935483870967744,0.2903225806451613,0.3548387096774194,0.5161290322580645,0.5483870967741935,0.3870967741935484,0.4838709677419355,0.5161290322580645,0.3870967741935484,0.5483870967741935,0.5806451612903226,0.45161290322580644,0.59375,0.3548387096774194,0.5151515151515151,0.5142857142857142,0.5945945945945946,0.5483870967741935,0.45161290322580644,0.45161290322580644,0.5294117647058824,0.45161290322580644,0.5483870967741935,0.5384615384615384,0.3870967741935484,0.625,0.4838709677419355,0.3225806451612903,0.4838709677419355,0.5277777777777778,0.45161290322580644,0.1935483870967742,0.22580645161290322,0.45161290322580644,0.5806451612903226,0.3548387096774194,0.5483870967741935,0.5806451612903226,0.5789473684210527,0.5365853658536586,0.5806451612903226,0.631578947368421,0.5454545454545454,0.2903225806451613,0.3225806451612903,0.5151515151515151,0.5483870967741935,0.4838709677419355,0.5,0.3225806451612903,0.45161290322580644,0.45161290322580644,0.41935483870967744,0.625,0.22580645161290322,0.45161290322580644,0.45161290322580644,0.5555555555555556,0.2903225806451613,0.2903225806451613,0.25806451612903225,0.3870967741935484,0.6176470588235294,0.5806451612903226,0.5526315789473685,0.6341463414634146,0.41935483870967744,0.45161290322580644,0.4838709677419355,0.5806451612903226,0.45161290322580644,0.6129032258064516,0.3548387096774194,0.5161290322580645,0.5806451612903226,0.4838709677419355,0.2903225806451613,0.5625,0.3225806451612903,0.3225806451612903,0.5142857142857142,0.5806451612903226,0.5588235294117647,0.5161290322580645,0.3870967741935484,0.1935483870967742,0.3225806451612903,0.2903225806451613,0.3548387096774194,0.625,0.4838709677419355,0.5483870967741935,0.6129032258064516,0.3870967741935484,0.4838709677419355,0.45161290322580644,0.2903225806451613,0.3548387096774194,0.625,0.5806451612903226,0.3870967741935484,0.5161290322580645,0.4838709677419355,0.1935483870967742,0.45161290322580644,0.25806451612903225,0.41935483870967744,0.3870967741935484,0.53125,0.3870967741935484,0.5161290322580645,0.4838709677419355,0.3225806451612903,0.5161290322580645,0.3548387096774194,0.45161290322580644,0.41935483870967744,0.3870967741935484,0.41935483870967744,0.06451612903225806,0.4838709677419355,0.5806451612903226,0.5161290322580645
Anesthesiology,0.6666666666666666,0.5333333333333333,0.2,0.4,0.6470588235294118,0.4,0.5806451612903226,1.0,0.5,0.36666666666666664,0.4666666666666667,0.26666666666666666,0.4666666666666667,0.7222222222222222,0.5,0.5666666666666667,0.36666666666666664,0.43333333333333335,0.4666666666666667,0.46153846153846156,0.4666666666666667,0.6666666666666666,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.6666666666666666,0.4,0.5666666666666667,0.5,0.43333333333333335,0.5333333333333333,0.7333333333333333,0.5333333333333333,0.65625,0.5,0.6060606060606061,0.6,0.5945945945945946,0.6,0.43333333333333335,0.5,0.6176470588235294,0.3333333333333333,0.6774193548387096,0.5897435897435898,0.43333333333333335,0.65625,0.43333333333333335,0.3333333333333333,0.6333333333333333,0.6111111111111112,0.4,0.3333333333333333,0.2,0.4,0.4,0.3,0.5666666666666667,0.5333333333333333,0.4473684210526316,0.6341463414634146,0.6333333333333333,0.5526315789473685,0.6363636363636364,0.43333333333333335,0.5,0.696969696969697,0.4666666666666667,0.7,0.5882352941176471,0.36666666666666664,0.5,0.3,0.5,0.75,0.23333333333333334,0.4666666666666667,0.6333333333333333,0.5277777777777778,0.3333333333333333,0.3333333333333333,0.23333333333333334,0.5666666666666667,0.6764705882352942,0.6333333333333333,0.6052631578947368,0.6585365853658537,0.6666666666666666,0.5,0.4,0.5333333333333333,0.5,0.6774193548387096,0.43333333333333335,0.5666666666666667,0.5666666666666667,0.6,0.4,0.46875,0.4666666666666667,0.5,0.6857142857142857,0.7096774193548387,0.5294117647058824,0.5333333333333333,0.4666666666666667,0.23333333333333334,0.23333333333333334,0.6333333333333333,0.5333333333333333,0.625,0.5333333333333333,0.7666666666666667,0.5,0.5333333333333333,0.4,0.3,0.2,0.5333333333333333,0.71875,0.6333333333333333,0.36666666666666664,0.5666666666666667,0.7,0.13333333333333333,0.6333333333333333,0.36666666666666664,0.5666666666666667,0.43333333333333335,0.78125,0.5,0.5666666666666667,0.7,0.36666666666666664,0.5666666666666667,0.43333333333333335,0.4666666666666667,0.5333333333333333,0.5,0.5333333333333333,0.2,0.6,0.5,0.5666666666666667
Anthropology and Archaeology,0.5,0.47058823529411764,0.3235294117647059,0.6176470588235294,0.6176470588235294,0.5294117647058824,0.6470588235294118,0.5,1.0,0.5,0.4117647058823529,0.20588235294117646,0.5588235294117647,0.6388888888888888,0.5294117647058824,0.5294117647058824,0.29411764705882354,0.35294117647058826,0.4411764705882353,0.6666666666666666,0.2647058823529412,0.4411764705882353,0.20588235294117646,0.38235294117647056,0.4411764705882353,0.6764705882352942,0.4411764705882353,0.5294117647058824,0.5588235294117647,0.4411764705882353,0.5,0.6470588235294118,0.38235294117647056,0.5294117647058824,0.4117647058823529,0.6764705882352942,0.6857142857142857,0.7297297297297297,0.6470588235294118,0.4411764705882353,0.47058823529411764,0.5588235294117647,0.5882352941176471,0.5882352941176471,0.6666666666666666,0.4117647058823529,0.7352941176470589,0.5,0.29411764705882354,0.38235294117647056,0.6666666666666666,0.5294117647058824,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.5882352941176471,0.2647058823529412,0.6470588235294118,0.6470588235294118,0.6842105263157895,0.6341463414634146,0.6764705882352942,0.7105263157894737,0.7058823529411765,0.4117647058823529,0.4411764705882353,0.5588235294117647,0.6764705882352942,0.5588235294117647,0.5882352941176471,0.4117647058823529,0.5294117647058824,0.3235294117647059,0.47058823529411764,0.6764705882352942,0.29411764705882354,0.5294117647058824,0.5294117647058824,0.6944444444444444,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.5,0.5294117647058824,0.4411764705882353,0.6842105263157895,0.6097560975609756,0.5588235294117647,0.5294117647058824,0.5882352941176471,0.5,0.4117647058823529,0.7352941176470589,0.47058823529411764,0.5882352941176471,0.6470588235294118,0.5,0.29411764705882354,0.5294117647058824,0.29411764705882354,0.38235294117647056,0.6571428571428571,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.38235294117647056,0.29411764705882354,0.23529411764705882,0.4117647058823529,0.38235294117647056,0.6764705882352942,0.47058823529411764,0.5588235294117647,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.5294117647058824,0.17647058823529413,0.4411764705882353,0.6764705882352942,0.6470588235294118,0.29411764705882354,0.5588235294117647,0.5588235294117647,0.23529411764705882,0.5294117647058824,0.23529411764705882,0.5294117647058824,0.4411764705882353,0.6176470588235294,0.5,0.5294117647058824,0.5882352941176471,0.23529411764705882,0.5882352941176471,0.47058823529411764,0.4411764705882353,0.4411764705882353,0.3235294117647059,0.38235294117647056,0.11764705882352941,0.4411764705882353,0.5294117647058824,0.4411764705882353
Applied Chemistry,0.5185185185185185,0.45454545454545453,0.36363636363636365,0.5,0.4411764705882353,0.6153846153846154,0.45161290322580644,0.36666666666666664,0.5,1.0,0.56,0.2727272727272727,0.5217391304347826,0.3611111111111111,0.25,0.32,0.13636363636363635,0.5,0.45454545454545453,0.4358974358974359,0.22727272727272727,0.3448275862068966,0.22727272727272727,0.5454545454545454,0.5185185185185185,0.5333333333333333,0.3181818181818182,0.4782608695652174,0.5925925925925926,0.2727272727272727,0.48,0.3793103448275862,0.4166666666666667,0.40625,0.3181818181818182,0.3939393939393939,0.4,0.40540540540540543,0.35714285714285715,0.56,0.45454545454545453,0.38235294117647056,0.4230769230769231,0.3870967741935484,0.48717948717948717,0.22727272727272727,0.46875,0.5454545454545454,0.4090909090909091,0.36,0.3888888888888889,0.45454545454545453,0.22727272727272727,0.2727272727272727,0.7727272727272727,0.6296296296296297,0.45454545454545453,0.5185185185185185,0.44,0.4473684210526316,0.34146341463414637,0.39285714285714285,0.42105263157894735,0.45454545454545453,0.36363636363636365,0.3181818181818182,0.42424242424242425,0.3333333333333333,0.42857142857142855,0.3235294117647059,0.6363636363636364,0.5652173913043478,0.6363636363636364,0.45454545454545453,0.40625,0.22727272727272727,0.45454545454545453,0.4230769230769231,0.4166666666666667,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2916666666666667,0.4117647058823529,0.5357142857142857,0.3684210526315789,0.36585365853658536,0.39285714285714285,0.64,0.5454545454545454,0.56,0.4782608695652174,0.4838709677419355,0.36363636363636365,0.5,0.4666666666666667,0.4074074074074074,0.09090909090909091,0.40625,0.45454545454545453,0.3181818181818182,0.42857142857142855,0.3548387096774194,0.4411764705882353,0.6071428571428571,0.36363636363636365,0.3181818181818182,0.45454545454545453,0.30434782608695654,0.2727272727272727,0.53125,0.46153846153846156,0.3448275862068966,0.5,0.34615384615384615,0.6363636363636364,0.36363636363636365,0.4090909090909091,0.4,0.40625,0.42857142857142855,0.5454545454545454,0.5,0.2222222222222222,0.18181818181818182,0.35714285714285715,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.4375,0.45454545454545453,0.5,0.4074074074074074,0.22727272727272727,0.4782608695652174,0.3181818181818182,0.5,0.3181818181818182,0.3181818181818182,0.5,0.0,0.5,0.4,0.4
