,Acoustics,Addictive Diseases,Aerospace Technology,Agricult & Food Science,Allergy,Analytical Chemistry,Anatomy & Morphology,Anesthesiology,Anthropology and Archaeology,Applied Chemistry,Applied Mathematics,Applied Physics,Area Studies,Arthritis & Rheumatology,Astronomy & Astrophysics,Behavioral Science & Complementary Psychology,Biochemistry & Molecular Biology,Biomedical Engineering,Biophysics,Botany,Cancer,Cardiovascular System,Cellular Biology Cytology & Histology,Chemical Engineering,Chemical Physics,Civil Engineering,Clinical Psychology,Communication,Computers,Criminology,Dairy & Animal Science,Demography,Dentistry,Dermatology & Venerial Disease,Developmental & Child Psychology,Earth & planetary Science,Ecology,Economics,Education,Electrical Engineering & Electronics,Embryology,Endocrinology,Entomology,Environmental & Occupational Health,Environmental Science,Experimental Psychology,Fertility,Fine Arts & Architecture,Fluids & Plasmas,Gastroenterology,General & Internal Medicine,General Biology,General Biomedical Research,General Chemistry,General Engineering,General Mathematics,General Physics,General Psychology,General Social Sciences,General Zoology,Genetics & Heredity,Geography,Geology,Geriatrics,Geriatrics & Gerontology,Health Policy & Services,Hematology,History,Human Factors,Immunology,Industrial Engineering,Information Science & Library Science,Inorganic & Nuclear Chemistry,International Relations,Language & Linguistics,Law,Literature,Management,Marine Biology & Hydrobiology,Materials Science,Mechanical Engineering,Metals & Metallurgy,Meteorology & Atmospheric Science,Microbiology,Microscopy,Miscellaneous Biology,Miscellaneous Biomedical Research,Miscellaneous Clinical Medicine,Miscellaneous Engineering & Technology,Miscellaneous Humanities,Miscellaneous Mathematics,Miscellaneous Physics,Miscellaneous Professional Field,Miscellaneous Psychology,Miscellaneous Social Sciences,Miscellaneous Zoology,Nephrology,Neurology & Neurosurgery,Nuclear & Particle Physics,Nuclear Technology,Nursing,Nutrition & Dietetic,Obstetrics & Gynecology,Oceanography & Limnology,Operations Research,Ophthalmology,Optics,Organic Chemistry,Orthopedics,Otorhinolaryngology,Parasitology,Pathology,Pediatrics,Performing Arts,Pharmacology,Pharmacy,Philosophy,Physical Chemistry,Physiology,Planning & Urban Studies,Political Science and Public Administration,Polymers,Probability & Statistics,Psychiatry,Psychoanalysis,Public Health,Radiology & Nuclear Medicine,Rehabilitation,Religion,Respiratory System,Science studies,Social Psychology,"Social Sciences, Biomedical",Social Studies of Medicine,Social Work,Sociology,Solid State Physics,Speech-Language Pathology and Audiology,Surgery,Tropical Medicine,Unknown,Urology,Veterinary Medicine,Virology
Acoustics,1.0,0.25925925925925924,0.5555555555555556,0.22448979591836735,0.35,0.38461538461538464,0.25,0.24,0.27906976744186046,0.3225806451612903,0.42857142857142855,0.5294117647058824,0.2857142857142857,0.4444444444444444,0.35294117647058826,0.2857142857142857,0.058823529411764705,0.2916666666666667,0.35294117647058826,0.2549019607843137,0.11764705882352941,0.25,0.23529411764705882,0.1935483870967742,0.35294117647058826,0.25806451612903225,0.3333333333333333,0.16666666666666666,0.35294117647058826,0.29411764705882354,0.23684210526315788,0.2631578947368421,0.3157894736842105,0.2558139534883721,0.391304347826087,0.2857142857142857,0.2222222222222222,0.21621621621621623,0.2,0.17647058823529413,0.11764705882352941,0.2857142857142857,0.23255813953488372,0.2553191489361702,0.2391304347826087,0.058823529411764705,0.34615384615384615,0.3181818181818182,0.4117647058823529,0.21739130434782608,0.19047619047619047,0.3235294117647059,0.2727272727272727,0.3333333333333333,0.55,0.38461538461538464,0.43478260869565216,0.3888888888888889,0.2571428571428571,0.3181818181818182,0.25,0.3055555555555556,0.26666666666666666,0.11764705882352941,0.29411764705882354,0.3170731707317073,0.28,0.25,0.0,0.23255813953488372,0.35294117647058826,0.2692307692307692,0.37037037037037035,0.2,0.27586206896551724,0.2903225806451613,0.2,0.17647058823529413,0.21052631578947367,0.21052631578947367,0.35294117647058826,0.29411764705882354,0.34285714285714286,0.2558139534883721,0.17647058823529413,0.30303030303030304,0.2702702702702703,0.2692307692307692,0.32558139534883723,0.17647058823529413,0.5294117647058824,0.4117647058823529,0.29411764705882354,0.2777777777777778,0.2894736842105263,0.2631578947368421,0.17647058823529413,0.058823529411764705,0.4583333333333333,0.35294117647058826,0.2916666666666667,0.23809523809523808,0.21621621621621623,0.34285714285714286,0.23529411764705882,0.27586206896551724,0.38095238095238093,0.4166666666666667,0.23529411764705882,0.23529411764705882,0.2608695652173913,0.3181818181818182,0.16279069767441862,0.23529411764705882,0.2413793103448276,0.36666666666666664,0.23529411764705882,0.2916666666666667,0.23529411764705882,0.21052631578947367,0.27586206896551724,0.35294117647058826,0.38461538461538464,0.21428571428571427,0.11764705882352941,0.2708333333333333,0.23529411764705882,0.3333333333333333,0.18518518518518517,0.2619047619047619,0.11764705882352941,0.28,0.225,0.11764705882352941,0.25,0.3793103448275862,0.5217391304347826,0.058823529411764705,0.23076923076923078,0.26,0.0,0.30303030303030304,0.25,0.2682926829268293
Addictive Diseases,0.25925925925925924,1.0,0.2222222222222222,0.5102040816326531,0.4444444444444444,0.37037037037037035,0.5555555555555556,0.5185185185185185,0.5348837209302325,0.6451612903225806,0.39285714285714285,0.14814814814814814,0.5714285714285714,0.4074074074074074,0.2962962962962963,0.3333333333333333,0.07407407407407407,0.5555555555555556,0.3333333333333333,0.5098039215686274,0.14814814814814814,0.2222222222222222,0.25925925925925924,0.4838709677419355,0.18518518518518517,0.6451612903225806,0.4444444444444444,0.5185185185185185,0.18518518518518517,0.25925925925925924,0.631578947368421,0.631578947368421,0.5185185185185185,0.5813953488372093,0.5555555555555556,0.4489795918367347,0.4666666666666667,0.5945945945945946,0.6333333333333333,0.25925925925925924,0.1111111111111111,0.2962962962962963,0.5581395348837209,0.5531914893617021,0.5434782608695652,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.25925925925925924,0.4074074074074074,0.47619047619047616,0.5588235294117647,0.4090909090909091,0.25925925925925924,0.4444444444444444,0.4444444444444444,0.25925925925925924,0.37037037037037035,0.6571428571428571,0.5227272727272727,0.32142857142857145,0.5833333333333334,0.5333333333333333,0.37037037037037035,0.4444444444444444,0.5853658536585366,0.5185185185185185,0.37037037037037035,0.3333333333333333,0.5116279069767442,0.25925925925925924,0.7037037037037037,0.5555555555555556,0.7037037037037037,0.5517241379310345,0.6129032258064516,0.4444444444444444,0.25925925925925924,0.5263157894736842,0.25925925925925924,0.2962962962962963,0.2962962962962963,0.5428571428571428,0.5348837209302325,0.18518518518518517,0.5454545454545454,0.5675675675675675,0.6666666666666666,0.5348837209302325,0.25925925925925924,0.4074074074074074,0.2222222222222222,0.37037037037037035,0.4444444444444444,0.5789473684210527,0.5,0.25925925925925924,0.037037037037037035,0.4444444444444444,0.2962962962962963,0.6296296296296297,0.5952380952380952,0.5405405405405406,0.5142857142857142,0.4074074074074074,0.4482758620689655,0.37037037037037035,0.18518518518518517,0.4074074074074074,0.3333333333333333,0.5652173913043478,0.5185185185185185,0.5348837209302325,0.3333333333333333,0.4482758620689655,0.6333333333333333,0.48148148148148145,0.2962962962962963,0.2222222222222222,0.6052631578947368,0.5862068965517241,0.14814814814814814,0.6296296296296297,0.6071428571428571,0.18518518518518517,0.5416666666666666,0.2222222222222222,0.6666666666666666,0.7407407407407407,0.5476190476190477,0.4074074074074074,0.6666666666666666,0.6,0.07407407407407407,0.6296296296296297,0.5862068965517241,0.2962962962962963,0.2222222222222222,0.4074074074074074,0.52,0.0,0.6060606060606061,0.5208333333333334,0.5121951219512195
Aerospace Technology,0.5555555555555556,0.2222222222222222,1.0,0.2857142857142857,0.4,0.34615384615384615,0.35,0.32,0.37209302325581395,0.45161290322580644,0.42857142857142855,0.5,0.38095238095238093,0.3888888888888889,0.3888888888888889,0.47619047619047616,0.1111111111111111,0.3333333333333333,0.3888888888888889,0.29411764705882354,0.2222222222222222,0.25,0.2777777777777778,0.25806451612903225,0.3888888888888889,0.2903225806451613,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.34210526315789475,0.34210526315789475,0.3157894736842105,0.3023255813953488,0.4782608695652174,0.2857142857142857,0.28888888888888886,0.32432432432432434,0.2,0.2777777777777778,0.2222222222222222,0.38095238095238093,0.27906976744186046,0.2978723404255319,0.30434782608695654,0.1111111111111111,0.5,0.2727272727272727,0.4444444444444444,0.21739130434782608,0.2619047619047619,0.35294117647058826,0.2727272727272727,0.3333333333333333,0.6,0.34615384615384615,0.43478260869565216,0.5,0.34285714285714286,0.3409090909090909,0.25,0.4166666666666667,0.28888888888888886,0.2222222222222222,0.2222222222222222,0.36585365853658536,0.28,0.3,0.16666666666666666,0.3023255813953488,0.3888888888888889,0.38461538461538464,0.37037037037037035,0.32,0.3448275862068966,0.3548387096774194,0.3,0.2777777777777778,0.34210526315789475,0.2631578947368421,0.3333333333333333,0.2777777777777778,0.37142857142857144,0.3488372093023256,0.16666666666666666,0.3939393939393939,0.35135135135135137,0.34615384615384615,0.37209302325581395,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.3888888888888889,0.2777777777777778,0.34210526315789475,0.34210526315789475,0.2222222222222222,0.05555555555555555,0.5,0.3888888888888889,0.2916666666666667,0.3333333333333333,0.32432432432432434,0.42857142857142855,0.3333333333333333,0.3448275862068966,0.42857142857142855,0.4583333333333333,0.2222222222222222,0.3888888888888889,0.32608695652173914,0.3181818181818182,0.2558139534883721,0.3333333333333333,0.2413793103448276,0.5,0.2222222222222222,0.2916666666666667,0.3888888888888889,0.2631578947368421,0.3448275862068966,0.2777777777777778,0.4230769230769231,0.25,0.16666666666666666,0.3125,0.3333333333333333,0.37037037037037035,0.37037037037037035,0.35714285714285715,0.2222222222222222,0.32,0.325,0.1111111111111111,0.375,0.4482758620689655,0.4782608695652174,0.16666666666666666,0.2692307692307692,0.32,0.0,0.36363636363636365,0.2916666666666667,0.34146341463414637
Agricult & Food Science,0.22448979591836735,0.5102040816326531,0.2857142857142857,1.0,0.3877551020408163,0.40816326530612246,0.3877551020408163,0.5102040816326531,0.7959183673469388,0.5306122448979592,0.42857142857142855,0.1836734693877551,0.7959183673469388,0.3469387755102041,0.16326530612244897,0.40816326530612246,0.16326530612244897,0.4489795918367347,0.22448979591836735,0.9411764705882353,0.30612244897959184,0.3673469387755102,0.2857142857142857,0.5918367346938775,0.22448979591836735,0.5918367346938775,0.3469387755102041,0.3673469387755102,0.14285714285714285,0.24489795918367346,0.7755102040816326,0.7551020408163265,0.3877551020408163,0.8571428571428571,0.4489795918367347,0.9183673469387755,0.8775510204081632,0.7551020408163265,0.5918367346938775,0.2857142857142857,0.12244897959183673,0.42857142857142855,0.8571428571428571,0.8979591836734694,0.8979591836734694,0.061224489795918366,0.46938775510204084,0.42857142857142855,0.24489795918367346,0.46938775510204084,0.7755102040816326,0.6326530612244898,0.7959183673469388,0.42857142857142855,0.30612244897959184,0.40816326530612246,0.3469387755102041,0.32653061224489793,0.673469387755102,0.8163265306122449,0.5306122448979592,0.673469387755102,0.8571428571428571,0.2857142857142857,0.2653061224489796,0.7551020408163265,0.5102040816326531,0.3877551020408163,0.22448979591836735,0.8571428571428571,0.22448979591836735,0.4897959183673469,0.4489795918367347,0.4897959183673469,0.5714285714285714,0.5918367346938775,0.40816326530612246,0.32653061224489793,0.7551020408163265,0.32653061224489793,0.2857142857142857,0.2857142857142857,0.6530612244897959,0.8367346938775511,0.14285714285714285,0.6530612244897959,0.7142857142857143,0.5306122448979592,0.7755102040816326,0.20408163265306123,0.2653061224489796,0.16326530612244897,0.2857142857142857,0.3469387755102041,0.7551020408163265,0.7551020408163265,0.1836734693877551,0.12244897959183673,0.3673469387755102,0.1836734693877551,0.4897959183673469,0.8571428571428571,0.7551020408163265,0.673469387755102,0.2857142857142857,0.5714285714285714,0.30612244897959184,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.8979591836734694,0.4489795918367347,0.8571428571428571,0.2653061224489796,0.5918367346938775,0.5510204081632653,0.3469387755102041,0.3673469387755102,0.2857142857142857,0.7551020408163265,0.5714285714285714,0.1836734693877551,0.4489795918367347,0.5714285714285714,0.10204081632653061,0.9183673469387755,0.30612244897959184,0.5102040816326531,0.5510204081632653,0.7959183673469388,0.24489795918367346,0.46938775510204084,0.7755102040816326,0.10204081632653061,0.4897959183673469,0.5306122448979592,0.30612244897959184,0.1836734693877551,0.5306122448979592,0.92,0.0,0.6326530612244898,0.9591836734693877,0.8163265306122449
Allergy,0.35,0.4444444444444444,0.4,0.3877551020408163,1.0,0.3076923076923077,0.6,0.56,0.4186046511627907,0.3870967741935484,0.39285714285714285,0.15,0.42857142857142855,0.5,0.25,0.6666666666666666,0.1,0.4583333333333333,0.35,0.37254901960784315,0.25,0.3,0.35,0.2903225806451613,0.25,0.41935483870967744,0.5,0.45,0.15,0.35,0.47368421052631576,0.4473684210526316,0.45,0.4418604651162791,0.4782608695652174,0.3877551020408163,0.4,0.4594594594594595,0.43333333333333335,0.2,0.2,0.42857142857142855,0.4186046511627907,0.425531914893617,0.43478260869565216,0.15,0.46153846153846156,0.5454545454545454,0.35,0.391304347826087,0.40476190476190477,0.47058823529411764,0.36363636363636365,0.25,0.35,0.38461538461538464,0.21739130434782608,0.45,0.4857142857142857,0.4318181818181818,0.39285714285714285,0.5,0.37777777777777777,0.3,0.4,0.4634146341463415,0.52,0.45,0.25,0.4418604651162791,0.4,0.5384615384615384,0.37037037037037035,0.44,0.5517241379310345,0.45161290322580644,0.55,0.2,0.4473684210526316,0.15,0.2,0.15,0.45714285714285713,0.46511627906976744,0.2,0.5151515151515151,0.4864864864864865,0.5769230769230769,0.37209302325581395,0.3,0.55,0.3,0.4,0.55,0.4473684210526316,0.5,0.3,0.05,0.4583333333333333,0.2,0.5416666666666666,0.4523809523809524,0.5135135135135135,0.45714285714285713,0.4,0.4827586206896552,0.38095238095238093,0.25,0.45,0.35,0.43478260869565216,0.5454545454545454,0.3953488372093023,0.3,0.27586206896551724,0.43333333333333335,0.55,0.16666666666666666,0.25,0.42105263157894735,0.5172413793103449,0.2,0.46153846153846156,0.4642857142857143,0.15,0.4166666666666667,0.3,0.5555555555555556,0.48148148148148145,0.4523809523809524,0.25,0.56,0.475,0.05,0.5,0.6551724137931034,0.30434782608695654,0.2,0.38461538461538464,0.4,0.0,0.5151515151515151,0.375,0.4878048780487805
Analytical Chemistry,0.38461538461538464,0.37037037037037035,0.34615384615384615,0.40816326530612246,0.3076923076923077,1.0,0.23076923076923078,0.4230769230769231,0.4186046511627907,0.41935483870967744,0.5357142857142857,0.38461538461538464,0.42857142857142855,0.34615384615384615,0.34615384615384615,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.2692307692307692,0.43137254901960786,0.38461538461538464,0.46153846153846156,0.2692307692307692,0.5806451612903226,0.38461538461538464,0.3548387096774194,0.3076923076923077,0.11538461538461539,0.23076923076923078,0.19230769230769232,0.47368421052631576,0.42105263157894735,0.34615384615384615,0.4186046511627907,0.34615384615384615,0.46938775510204084,0.4444444444444444,0.4864864864864865,0.5,0.3076923076923077,0.038461538461538464,0.5,0.3953488372093023,0.46808510638297873,0.43478260869565216,0.0,0.34615384615384615,0.38461538461538464,0.34615384615384615,0.5384615384615384,0.4523809523809524,0.4411764705882353,0.45454545454545453,0.6153846153846154,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.3076923076923077,0.42857142857142855,0.45454545454545453,0.5,0.3888888888888889,0.5111111111111111,0.15384615384615385,0.15384615384615385,0.3902439024390244,0.5384615384615384,0.23076923076923078,0.07692307692307693,0.4186046511627907,0.15384615384615385,0.34615384615384615,0.6666666666666666,0.34615384615384615,0.41379310344827586,0.3870967741935484,0.34615384615384615,0.38461538461538464,0.4473684210526316,0.38461538461538464,0.2692307692307692,0.5,0.4857142857142857,0.4418604651162791,0.07692307692307693,0.3939393939393939,0.35135135135135137,0.34615384615384615,0.46511627906976744,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.34615384615384615,0.39473684210526316,0.47368421052631576,0.07692307692307693,0.19230769230769232,0.5384615384615384,0.3076923076923077,0.4230769230769231,0.4523809523809524,0.43243243243243246,0.42857142857142855,0.23076923076923078,0.5517241379310345,0.5384615384615384,0.6538461538461539,0.3076923076923077,0.34615384615384615,0.43478260869565216,0.4230769230769231,0.3953488372093023,0.07692307692307693,0.5517241379310345,0.4,0.2692307692307692,0.46153846153846156,0.3076923076923077,0.39473684210526316,0.3793103448275862,0.34615384615384615,0.46153846153846156,0.5,0.038461538461538464,0.4583333333333333,0.4230769230769231,0.4074074074074074,0.37037037037037035,0.4523809523809524,0.07692307692307693,0.4230769230769231,0.45,0.11538461538461539,0.34615384615384615,0.3448275862068966,0.6538461538461539,0.07692307692307693,0.5,0.42,0.0,0.5151515151515151,0.4166666666666667,0.4634146341463415
Anatomy & Morphology,0.25,0.5555555555555556,0.35,0.3877551020408163,0.6,0.23076923076923078,1.0,0.48,0.3953488372093023,0.4838709677419355,0.25,0.05,0.47619047619047616,0.45,0.05,0.6190476190476191,0.05,0.4583333333333333,0.3,0.39215686274509803,0.05,0.15,0.3,0.3548387096774194,0.1,0.41935483870967744,0.45,0.75,0.15,0.4,0.5,0.5,0.5,0.4418604651162791,0.5217391304347826,0.32653061224489793,0.35555555555555557,0.43243243243243246,0.43333333333333335,0.15,0.25,0.14285714285714285,0.4186046511627907,0.425531914893617,0.41304347826086957,0.15,0.6153846153846154,0.5909090909090909,0.35,0.34782608695652173,0.3333333333333333,0.4117647058823529,0.3181818181818182,0.125,0.6,0.23076923076923078,0.13043478260869565,0.4,0.5142857142857142,0.4090909090909091,0.17857142857142858,0.5277777777777778,0.37777777777777777,0.55,0.55,0.43902439024390244,0.32,0.45,0.45,0.4186046511627907,0.45,0.6923076923076923,0.2962962962962963,0.6,0.4482758620689655,0.45161290322580644,0.5,0.15,0.4473684210526316,0.15,0.25,0.15,0.37142857142857144,0.4418604651162791,0.3,0.42424242424242425,0.4594594594594595,0.5,0.37209302325581395,0.25,0.55,0.3,0.6,0.35,0.47368421052631576,0.47368421052631576,0.35,0.05,0.2916666666666667,0.25,0.5,0.4523809523809524,0.4594594594594595,0.42857142857142855,0.6,0.41379310344827586,0.09523809523809523,0.16666666666666666,0.35,0.25,0.41304347826086957,0.45454545454545453,0.4418604651162791,0.55,0.2413793103448276,0.5666666666666667,0.45,0.08333333333333333,0.35,0.5263157894736842,0.5172413793103449,0.05,0.4230769230769231,0.39285714285714285,0.2,0.3958333333333333,0.05,0.5925925925925926,0.6666666666666666,0.38095238095238093,0.5,0.6,0.5,0.1,0.6666666666666666,0.5172413793103449,0.13043478260869565,0.4,0.23076923076923078,0.4,0.0,0.42424242424242425,0.3958333333333333,0.4146341463414634
Anesthesiology,0.24,0.5185185185185185,0.32,0.5102040816326531,0.56,0.4230769230769231,0.48,1.0,0.5581395348837209,0.5806451612903226,0.5357142857142857,0.16,0.5,0.52,0.12,0.6,0.12,0.6,0.32,0.49019607843137253,0.36,0.48,0.4,0.45161290322580644,0.32,0.5483870967741935,0.48,0.48,0.12,0.2,0.631578947368421,0.6052631578947368,0.52,0.5348837209302325,0.64,0.4897959183673469,0.5111111111111111,0.6486486486486487,0.6333333333333333,0.28,0.08,0.64,0.5348837209302325,0.5319148936170213,0.5217391304347826,0.08,0.5769230769230769,0.64,0.28,0.6,0.5,0.5588235294117647,0.4772727272727273,0.44,0.28,0.5,0.32,0.56,0.6,0.5227272727272727,0.5357142857142857,0.6111111111111112,0.5111111111111111,0.16,0.36,0.5853658536585366,0.6,0.48,0.12,0.5813953488372093,0.16,0.5769230769230769,0.3333333333333333,0.48,0.6551724137931034,0.5806451612903226,0.6,0.4,0.5263157894736842,0.24,0.24,0.24,0.6,0.5581395348837209,0.16,0.6060606060606061,0.5405405405405406,0.7307692307692307,0.5581395348837209,0.32,0.4,0.2,0.32,0.56,0.6052631578947368,0.6052631578947368,0.28,0.16,0.48,0.2,0.68,0.5952380952380952,0.6756756756756757,0.5142857142857142,0.36,0.6551724137931034,0.44,0.32,0.52,0.56,0.5434782608695652,0.64,0.5581395348837209,0.24,0.5172413793103449,0.5333333333333333,0.44,0.44,0.4,0.5789473684210527,0.6551724137931034,0.2,0.5,0.6785714285714286,0.12,0.5208333333333334,0.4,0.6296296296296297,0.6296296296296297,0.5952380952380952,0.28,0.6,0.625,0.08,0.64,0.6896551724137931,0.32,0.16,0.6923076923076923,0.5,0.0,0.7272727272727273,0.5208333333333334,0.6097560975609756
Anthropology and Archaeology,0.27906976744186046,0.5348837209302325,0.37209302325581395,0.7959183673469388,0.4186046511627907,0.4186046511627907,0.3953488372093023,0.5581395348837209,1.0,0.5813953488372093,0.5116279069767442,0.23255813953488372,0.7674418604651163,0.3953488372093023,0.23255813953488372,0.46511627906976744,0.13953488372093023,0.4418604651162791,0.32558139534883723,0.7843137254901961,0.27906976744186046,0.37209302325581395,0.32558139534883723,0.5348837209302325,0.2558139534883721,0.627906976744186,0.4186046511627907,0.37209302325581395,0.13953488372093023,0.23255813953488372,0.7906976744186046,0.7674418604651163,0.4186046511627907,0.7906976744186046,0.5348837209302325,0.7551020408163265,0.8222222222222222,0.7906976744186046,0.5813953488372093,0.3023255813953488,0.13953488372093023,0.4418604651162791,0.8837209302325582,0.8085106382978723,0.8478260869565217,0.06976744186046512,0.5581395348837209,0.46511627906976744,0.27906976744186046,0.4883720930232558,0.7906976744186046,0.6976744186046512,0.7272727272727273,0.37209302325581395,0.32558139534883723,0.4883720930232558,0.32558139534883723,0.4186046511627907,0.6744186046511628,0.8181818181818182,0.5581395348837209,0.7674418604651163,0.8,0.2558139534883721,0.27906976744186046,0.8372093023255814,0.5116279069767442,0.4186046511627907,0.18604651162790697,0.8604651162790697,0.20930232558139536,0.5581395348837209,0.46511627906976744,0.5116279069767442,0.6744186046511628,0.627906976744186,0.3953488372093023,0.32558139534883723,0.7441860465116279,0.27906976744186046,0.3023255813953488,0.23255813953488372,0.7441860465116279,0.8372093023255814,0.16279069767441862,0.6976744186046512,0.6976744186046512,0.5813953488372093,0.8372093023255814,0.23255813953488372,0.37209302325581395,0.23255813953488372,0.3023255813953488,0.3953488372093023,0.7674418604651163,0.7906976744186046,0.23255813953488372,0.11627906976744186,0.4418604651162791,0.2558139534883721,0.5116279069767442,0.8372093023255814,0.7674418604651163,0.7209302325581395,0.27906976744186046,0.6046511627906976,0.3953488372093023,0.37209302325581395,0.3953488372093023,0.3953488372093023,0.8695652173913043,0.46511627906976744,0.813953488372093,0.2558139534883721,0.5348837209302325,0.5813953488372093,0.37209302325581395,0.3953488372093023,0.32558139534883723,0.7674418604651163,0.5581395348837209,0.18604651162790697,0.5116279069767442,0.5348837209302325,0.09302325581395349,0.8333333333333334,0.32558139534883723,0.5813953488372093,0.5813953488372093,0.8604651162790697,0.2558139534883721,0.5348837209302325,0.7906976744186046,0.046511627906976744,0.4883720930232558,0.6511627906976745,0.37209302325581395,0.18604651162790697,0.5581395348837209,0.82,0.0,0.6744186046511628,0.7916666666666666,0.8604651162790697
Applied Chemistry,0.3225806451612903,0.6451612903225806,0.45161290322580644,0.5306122448979592,0.3870967741935484,0.41935483870967744,0.4838709677419355,0.5806451612903226,0.5813953488372093,1.0,0.5806451612903226,0.3225806451612903,0.5952380952380952,0.3225806451612903,0.25806451612903225,0.3870967741935484,0.12903225806451613,0.5483870967741935,0.45161290322580644,0.5294117647058824,0.12903225806451613,0.2903225806451613,0.2903225806451613,0.4838709677419355,0.25806451612903225,0.5806451612903226,0.2903225806451613,0.41935483870967744,0.1935483870967742,0.12903225806451613,0.6578947368421053,0.631578947368421,0.3548387096774194,0.5813953488372093,0.5161290322580645,0.4897959183673469,0.4888888888888889,0.5945945945945946,0.5483870967741935,0.3225806451612903,0.0967741935483871,0.3548387096774194,0.5116279069767442,0.5531914893617021,0.5434782608695652,0.06451612903225806,0.6129032258064516,0.4838709677419355,0.3225806451612903,0.3548387096774194,0.4523809523809524,0.5588235294117647,0.4772727272727273,0.3225806451612903,0.5161290322580645,0.5161290322580645,0.41935483870967744,0.41935483870967744,0.6285714285714286,0.5681818181818182,0.3870967741935484,0.6666666666666666,0.5777777777777777,0.25806451612903225,0.3225806451612903,0.6341463414634146,0.3870967741935484,0.41935483870967744,0.25806451612903225,0.5348837209302325,0.25806451612903225,0.6129032258064516,0.5806451612903226,0.5483870967741935,0.4838709677419355,0.5483870967741935,0.3870967741935484,0.25806451612903225,0.5263157894736842,0.3225806451612903,0.3548387096774194,0.3548387096774194,0.6,0.5813953488372093,0.1935483870967742,0.6060606060606061,0.5945945945945946,0.5483870967741935,0.627906976744186,0.25806451612903225,0.41935483870967744,0.3225806451612903,0.2903225806451613,0.3225806451612903,0.5789473684210527,0.5526315789473685,0.22580645161290322,0.06451612903225806,0.5483870967741935,0.2903225806451613,0.45161290322580644,0.6190476190476191,0.5675675675675675,0.5714285714285714,0.3548387096774194,0.5161290322580645,0.41935483870967744,0.3870967741935484,0.3548387096774194,0.3870967741935484,0.5652173913043478,0.45161290322580644,0.5348837209302325,0.2903225806451613,0.45161290322580644,0.7419354838709677,0.3548387096774194,0.41935483870967744,0.3225806451612903,0.5789473684210527,0.5806451612903226,0.22580645161290322,0.6129032258064516,0.5161290322580645,0.16129032258064516,0.5625,0.25806451612903225,0.6451612903225806,0.6451612903225806,0.5714285714285714,0.3870967741935484,0.4838709677419355,0.6,0.16129032258064516,0.5483870967741935,0.5806451612903226,0.41935483870967744,0.16129032258064516,0.41935483870967744,0.54,0.0,0.6060606060606061,0.5625,0.5365853658536586
