,Acoustics,Addictive Diseases,Aerospace Technology,Agricult & Food Science,Allergy,Analytical Chemistry,Anatomy & Morphology,Anesthesiology,Anthropology and Archaeology,Applied Chemistry,Applied Mathematics,Applied Physics,Area Studies,Arthritis & Rheumatology,Astronomy & Astrophysics,Behavioral Science & Complementary Psychology,Biochemistry & Molecular Biology,Biomedical Engineering,Biophysics,Botany,Cancer,Cardiovascular System,Cellular Biology Cytology & Histology,Chemical Engineering,Chemical Physics,Civil Engineering,Clinical Psychology,Communication,Computers,Criminology,Dairy & Animal Science,Demography,Dentistry,Dermatology & Venerial Disease,Developmental & Child Psychology,Earth & planetary Science,Ecology,Economics,Education,Electrical Engineering & Electronics,Embryology,Endocrinology,Entomology,Environmental & Occupational Health,Environmental Science,Experimental Psychology,Fertility,Fine Arts & Architecture,Fluids & Plasmas,Gastroenterology,General & Internal Medicine,General Biology,General Biomedical Research,General Chemistry,General Engineering,General Mathematics,General Physics,General Psychology,General Social Sciences,General Zoology,Genetics & Heredity,Geography,Geology,Geriatrics,Geriatrics & Gerontology,Health Policy & Services,Hematology,History,Human Factors,Immunology,Industrial Engineering,Information Science & Library Science,Inorganic & Nuclear Chemistry,International Relations,Language & Linguistics,Law,Literature,Management,Marine Biology & Hydrobiology,Materials Science,Mechanical Engineering,Metals & Metallurgy,Meteorology & Atmospheric Science,Microbiology,Microscopy,Miscellaneous Biology,Miscellaneous Biomedical Research,Miscellaneous Clinical Medicine,Miscellaneous Engineering & Technology,Miscellaneous Humanities,Miscellaneous Mathematics,Miscellaneous Physics,Miscellaneous Professional Field,Miscellaneous Psychology,Miscellaneous Social Sciences,Miscellaneous Zoology,Nephrology,Neurology & Neurosurgery,Nuclear & Particle Physics,Nuclear Technology,Nursing,Nutrition & Dietetic,Obstetrics & Gynecology,Oceanography & Limnology,Operations Research,Ophthalmology,Optics,Organic Chemistry,Orthopedics,Otorhinolaryngology,Parasitology,Pathology,Pediatrics,Performing Arts,Pharmacology,Pharmacy,Philosophy,Physical Chemistry,Physiology,Planning & Urban Studies,Political Science and Public Administration,Polymers,Probability & Statistics,Psychiatry,Psychoanalysis,Public Health,Radiology & Nuclear Medicine,Rehabilitation,Religion,Respiratory System,Science studies,Social Psychology,"Social Sciences, Biomedical",Social Studies of Medicine,Social Work,Sociology,Solid State Physics,Speech-Language Pathology and Audiology,Surgery,Tropical Medicine,Unknown,Urology,Veterinary Medicine,Virology
Acoustics,1.0,0.47619047619047616,0.38095238095238093,0.2653061224489796,0.35714285714285715,0.4482758620689655,0.3333333333333333,0.38095238095238093,0.36585365853658536,0.5517241379310345,0.36585365853658536,0.42857142857142855,0.37142857142857144,0.3333333333333333,0.43478260869565216,0.34615384615384615,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.3404255319148936,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.38461538461538464,0.4482758620689655,0.45161290322580644,0.2857142857142857,0.38095238095238093,0.42857142857142855,0.3333333333333333,0.32432432432432434,0.2692307692307692,0.3548387096774194,0.3076923076923077,0.47619047619047616,0.3157894736842105,0.2857142857142857,0.375,0.34615384615384615,0.46153846153846156,0.2857142857142857,0.21739130434782608,0.3191489361702128,0.3684210526315789,0.3333333333333333,0.14285714285714285,0.36,0.3333333333333333,0.47619047619047616,0.19047619047619047,0.23684210526315788,0.3076923076923077,0.2647058823529412,0.34782608695652173,0.425,0.42105263157894735,0.3103448275862069,0.28,0.41935483870967744,0.3,0.30303030303030304,0.42857142857142855,0.3409090909090909,0.38095238095238093,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.23076923076923078,0.3333333333333333,0.2682926829268293,0.4666666666666667,0.4375,0.45454545454545453,0.42857142857142855,0.5454545454545454,0.391304347826087,0.3333333333333333,0.3333333333333333,0.3191489361702128,0.5,0.52,0.5652173913043478,0.36363636363636365,0.2926829268292683,0.3333333333333333,0.37142857142857144,0.4642857142857143,0.42857142857142855,0.37142857142857144,0.4230769230769231,0.4444444444444444,0.4827586206896552,0.32142857142857145,0.19047619047619047,0.4074074074074074,0.35555555555555557,0.38095238095238093,0.09523809523809523,0.34375,0.391304347826087,0.22727272727272727,0.3142857142857143,0.34285714285714286,0.34210526315789475,0.3548387096774194,0.2857142857142857,0.48,0.48,0.38095238095238093,0.38095238095238093,0.29545454545454547,0.375,0.36666666666666664,0.2857142857142857,0.32142857142857145,0.375,0.42857142857142855,0.43333333333333335,0.3333333333333333,0.35294117647058826,0.375,0.38095238095238093,0.4666666666666667,0.2916666666666667,0.047619047619047616,0.3023255813953488,0.23809523809523808,0.42857142857142855,0.36363636363636365,0.3793103448275862,0.38095238095238093,0.42857142857142855,0.34375,0.23809523809523808,0.43478260869565216,0.5,0.4642857142857143,0.19047619047619047,0.22727272727272727,0.28888888888888886,0.0,0.38095238095238093,0.2682926829268293,0.3076923076923077
Addictive Diseases,0.47619047619047616,1.0,0.2777777777777778,0.2857142857142857,0.35714285714285715,0.27586206896551724,0.25,0.3888888888888889,0.34146341463414637,0.3103448275862069,0.2682926829268293,0.2222222222222222,0.42857142857142855,0.3157894736842105,0.30434782608695654,0.4230769230769231,0.16666666666666666,0.32142857142857145,0.3333333333333333,0.3191489361702128,0.2222222222222222,0.3333333333333333,0.05555555555555555,0.2564102564102564,0.20689655172413793,0.3548387096774194,0.4444444444444444,0.42857142857142855,0.25,0.5,0.2972972972972973,0.38461538461538464,0.3870967741935484,0.38461538461538464,0.5555555555555556,0.34210526315789475,0.3333333333333333,0.34375,0.38461538461538464,0.19230769230769232,0.2777777777777778,0.30434782608695654,0.3191489361702128,0.39473684210526316,0.2549019607843137,0.16666666666666666,0.4,0.42105263157894735,0.3888888888888889,0.2777777777777778,0.2894736842105263,0.28205128205128205,0.29411764705882354,0.21739130434782608,0.35,0.3157894736842105,0.1724137931034483,0.44,0.4838709677419355,0.3,0.36363636363636365,0.5357142857142857,0.3181818181818182,0.5,0.3888888888888889,0.5,0.3888888888888889,0.38461538461538464,0.2777777777777778,0.3170731707317073,0.3333333333333333,0.40625,0.36363636363636365,0.45,0.45454545454545453,0.43478260869565216,0.5,0.5,0.3404255319148936,0.16666666666666666,0.28,0.391304347826087,0.36363636363636365,0.2926829268292683,0.23333333333333334,0.37142857142857144,0.5,0.35714285714285715,0.2571428571428571,0.38461538461538464,0.3611111111111111,0.3103448275862069,0.42857142857142855,0.3333333333333333,0.48148148148148145,0.3111111111111111,0.5,0.16666666666666666,0.25,0.391304347826087,0.2727272727272727,0.34285714285714286,0.2857142857142857,0.42105263157894735,0.2903225806451613,0.3888888888888889,0.36,0.32,0.4444444444444444,0.42857142857142855,0.3181818181818182,0.375,0.43333333333333335,0.3888888888888889,0.25,0.3125,0.3684210526315789,0.2,0.3888888888888889,0.35294117647058826,0.4583333333333333,0.15,0.36666666666666664,0.4166666666666667,0.1111111111111111,0.3488372093023256,0.2222222222222222,0.35,0.45454545454545453,0.41379310344827586,0.3888888888888889,0.6842105263157895,0.4375,0.05555555555555555,0.4782608695652174,0.4583333333333333,0.2857142857142857,0.2777777777777778,0.2727272727272727,0.3111111111111111,0.0,0.4444444444444444,0.2682926829268293,0.38461538461538464
Aerospace Technology,0.38095238095238093,0.2777777777777778,1.0,0.24489795918367346,0.39285714285714285,0.3103448275862069,0.3333333333333333,0.47058823529411764,0.2682926829268293,0.41379310344827586,0.2926829268292683,0.3888888888888889,0.2857142857142857,0.3157894736842105,0.2608695652173913,0.34615384615384615,0.0,0.25,0.47058823529411764,0.23404255319148937,0.11764705882352941,0.0,0.17647058823529413,0.28205128205128205,0.3103448275862069,0.3225806451612903,0.2777777777777778,0.38095238095238093,0.32142857142857145,0.35294117647058826,0.24324324324324326,0.38461538461538464,0.22580645161290322,0.38461538461538464,0.29411764705882354,0.34210526315789475,0.2619047619047619,0.28125,0.2692307692307692,0.34615384615384615,0.23529411764705882,0.17391304347826086,0.2765957446808511,0.2894736842105263,0.27450980392156865,0.17647058823529413,0.28,0.3157894736842105,0.47058823529411764,0.11764705882352941,0.18421052631578946,0.3076923076923077,0.23529411764705882,0.30434782608695654,0.375,0.23684210526315788,0.3103448275862069,0.32,0.2903225806451613,0.24,0.18181818181818182,0.32142857142857145,0.2727272727272727,0.2777777777777778,0.29411764705882354,0.2857142857142857,0.2222222222222222,0.2692307692307692,0.47058823529411764,0.21951219512195122,0.4,0.375,0.36363636363636365,0.45,0.4090909090909091,0.43478260869565216,0.16666666666666666,0.3888888888888889,0.2127659574468085,0.3333333333333333,0.36,0.391304347826087,0.24242424242424243,0.21951219512195122,0.26666666666666666,0.3142857142857143,0.39285714285714285,0.25,0.3142857142857143,0.34615384615384615,0.3611111111111111,0.3103448275862069,0.21428571428571427,0.23529411764705882,0.37037037037037035,0.28888888888888886,0.35294117647058826,0.058823529411764705,0.3125,0.30434782608695654,0.22727272727272727,0.2,0.2857142857142857,0.2631578947368421,0.3548387096774194,0.3333333333333333,0.36,0.36,0.3888888888888889,0.38095238095238093,0.29545454545454547,0.2916666666666667,0.23333333333333334,0.4444444444444444,0.14285714285714285,0.375,0.3684210526315789,0.26666666666666666,0.17647058823529413,0.38235294117647056,0.375,0.45,0.3333333333333333,0.25,0.058823529411764705,0.2558139534883721,0.35294117647058826,0.35,0.36363636363636365,0.3793103448275862,0.4117647058823529,0.42105263157894735,0.28125,0.11764705882352941,0.30434782608695654,0.3333333333333333,0.25,0.23529411764705882,0.22727272727272727,0.24444444444444444,0.0,0.2222222222222222,0.2682926829268293,0.28205128205128205
Agricult & Food Science,0.2653061224489796,0.2857142857142857,0.24489795918367346,1.0,0.4489795918367347,0.40816326530612246,0.5714285714285714,0.2653061224489796,0.5918367346938775,0.42857142857142855,0.5714285714285714,0.16326530612244897,0.4897959183673469,0.2857142857142857,0.32653061224489793,0.4489795918367347,0.1836734693877551,0.42857142857142855,0.20408163265306123,0.7551020408163265,0.1836734693877551,0.24489795918367346,0.12244897959183673,0.5714285714285714,0.40816326530612246,0.4489795918367347,0.2653061224489796,0.32653061224489793,0.3673469387755102,0.2653061224489796,0.6326530612244898,0.4489795918367347,0.5510204081632653,0.42857142857142855,0.32653061224489793,0.6122448979591837,0.6938775510204082,0.46938775510204084,0.40816326530612246,0.32653061224489793,0.12244897959183673,0.42857142857142855,0.7959183673469388,0.5918367346938775,0.7450980392156863,0.10204081632653061,0.42857142857142855,0.30612244897959184,0.24489795918367346,0.1836734693877551,0.6530612244897959,0.6938775510204082,0.5306122448979592,0.30612244897959184,0.6122448979591837,0.4897959183673469,0.3469387755102041,0.42857142857142855,0.46938775510204084,0.8,0.46938775510204084,0.4489795918367347,0.7142857142857143,0.2653061224489796,0.20408163265306123,0.46938775510204084,0.32653061224489793,0.3877551020408163,0.24489795918367346,0.7142857142857143,0.4897959183673469,0.4897959183673469,0.4897959183673469,0.2653061224489796,0.32653061224489793,0.3673469387755102,0.2857142857142857,0.32653061224489793,0.7551020408163265,0.32653061224489793,0.32653061224489793,0.2653061224489796,0.5102040816326531,0.6326530612244898,0.46938775510204084,0.5510204081632653,0.3877551020408163,0.46938775510204084,0.5510204081632653,0.3673469387755102,0.4489795918367347,0.3673469387755102,0.4489795918367347,0.22448979591836735,0.46938775510204084,0.6938775510204082,0.2653061224489796,0.1836734693877551,0.42857142857142855,0.2653061224489796,0.3673469387755102,0.6530612244897959,0.5306122448979592,0.6122448979591837,0.4897959183673469,0.32653061224489793,0.32653061224489793,0.30612244897959184,0.2857142857142857,0.3877551020408163,0.7551020408163265,0.3469387755102041,0.46938775510204084,0.2857142857142857,0.5102040816326531,0.5102040816326531,0.22448979591836735,0.3877551020408163,0.22448979591836735,0.5102040816326531,0.3469387755102041,0.24489795918367346,0.4489795918367347,0.42857142857142855,0.08163265306122448,0.7551020408163265,0.22448979591836735,0.2857142857142857,0.3469387755102041,0.42857142857142855,0.2653061224489796,0.32653061224489793,0.4897959183673469,0.1836734693877551,0.30612244897959184,0.3469387755102041,0.3673469387755102,0.1836734693877551,0.3673469387755102,0.7755102040816326,0.061224489795918366,0.2653061224489796,0.7142857142857143,0.6122448979591837
Allergy,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.4489795918367347,1.0,0.5517241379310345,0.4722222222222222,0.35714285714285715,0.4634146341463415,0.4827586206896552,0.43902439024390244,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5357142857142857,0.07142857142857142,0.42857142857142855,0.2857142857142857,0.425531914893617,0.14285714285714285,0.17857142857142858,0.14285714285714285,0.48717948717948717,0.5172413793103449,0.4838709677419355,0.2857142857142857,0.39285714285714285,0.5,0.35714285714285715,0.4594594594594595,0.6428571428571429,0.3870967741935484,0.5357142857142857,0.2857142857142857,0.5,0.40476190476190477,0.5,0.32142857142857145,0.4642857142857143,0.25,0.32142857142857145,0.46808510638297873,0.5,0.49019607843137253,0.14285714285714285,0.39285714285714285,0.42857142857142855,0.39285714285714285,0.25,0.3684210526315789,0.48717948717948717,0.35294117647058826,0.42857142857142855,0.5,0.42105263157894735,0.4482758620689655,0.5357142857142857,0.4838709677419355,0.44,0.45454545454545453,0.5357142857142857,0.5227272727272727,0.35714285714285715,0.32142857142857145,0.4642857142857143,0.2857142857142857,0.5357142857142857,0.2857142857142857,0.4634146341463415,0.5333333333333333,0.5625,0.48484848484848486,0.42857142857142855,0.5,0.5,0.39285714285714285,0.35714285714285715,0.40425531914893614,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.48484848484848486,0.4634146341463415,0.5333333333333333,0.45714285714285713,0.5714285714285714,0.4642857142857143,0.45714285714285713,0.6071428571428571,0.4444444444444444,0.5172413793103449,0.5,0.25,0.5357142857142857,0.4888888888888889,0.32142857142857145,0.10714285714285714,0.46875,0.4642857142857143,0.21428571428571427,0.42857142857142855,0.4,0.47368421052631576,0.45161290322580644,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.35714285714285715,0.5,0.42857142857142855,0.5333333333333333,0.39285714285714285,0.42857142857142855,0.53125,0.35714285714285715,0.4,0.21428571428571427,0.5,0.5714285714285714,0.2857142857142857,0.5666666666666667,0.39285714285714285,0.10714285714285714,0.4883720930232558,0.2857142857142857,0.39285714285714285,0.39285714285714285,0.6206896551724138,0.42857142857142855,0.39285714285714285,0.59375,0.21428571428571427,0.39285714285714285,0.4642857142857143,0.5357142857142857,0.32142857142857145,0.35714285714285715,0.4444444444444444,0.0,0.32142857142857145,0.4878048780487805,0.5384615384615384
Analytical Chemistry,0.4482758620689655,0.27586206896551724,0.3103448275862069,0.40816326530612246,0.5517241379310345,1.0,0.5,0.3793103448275862,0.4146341463414634,0.5862068965517241,0.5365853658536586,0.3448275862068966,0.45714285714285713,0.3103448275862069,0.41379310344827586,0.4827586206896552,0.13793103448275862,0.6206896551724138,0.3793103448275862,0.425531914893617,0.20689655172413793,0.2413793103448276,0.2413793103448276,0.5384615384615384,0.6551724137931034,0.6129032258064516,0.3103448275862069,0.3103448275862069,0.6551724137931034,0.3103448275862069,0.4864864864864865,0.4482758620689655,0.5483870967741935,0.4827586206896552,0.3103448275862069,0.39473684210526316,0.35714285714285715,0.46875,0.41379310344827586,0.5172413793103449,0.2413793103448276,0.41379310344827586,0.3829787234042553,0.4473684210526316,0.45098039215686275,0.1724137931034483,0.3448275862068966,0.3793103448275862,0.3448275862068966,0.27586206896551724,0.39473684210526316,0.38461538461538464,0.38235294117647056,0.5172413793103449,0.5,0.5526315789473685,0.5172413793103449,0.41379310344827586,0.45161290322580644,0.4,0.36363636363636365,0.3448275862068966,0.4318181818181818,0.3448275862068966,0.27586206896551724,0.41379310344827586,0.3793103448275862,0.3448275862068966,0.3103448275862069,0.36585365853658536,0.5666666666666667,0.53125,0.5757575757575758,0.3793103448275862,0.4482758620689655,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.44680851063829785,0.5517241379310345,0.4827586206896552,0.4482758620689655,0.42424242424242425,0.4878048780487805,0.5,0.34285714285714286,0.6206896551724138,0.5172413793103449,0.5714285714285714,0.41379310344827586,0.5,0.6206896551724138,0.4827586206896552,0.27586206896551724,0.3793103448275862,0.4444444444444444,0.3103448275862069,0.20689655172413793,0.5,0.3793103448275862,0.3448275862068966,0.45714285714285713,0.5428571428571428,0.42105263157894735,0.4838709677419355,0.3103448275862069,0.5517241379310345,0.5862068965517241,0.41379310344827586,0.3793103448275862,0.45454545454545453,0.5517241379310345,0.5,0.3448275862068966,0.4827586206896552,0.59375,0.3448275862068966,0.5666666666666667,0.3448275862068966,0.5588235294117647,0.4482758620689655,0.41379310344827586,0.6,0.3793103448275862,0.10344827586206896,0.4186046511627907,0.3103448275862069,0.41379310344827586,0.2413793103448276,0.4827586206896552,0.3793103448275862,0.3793103448275862,0.5625,0.2413793103448276,0.3103448275862069,0.4827586206896552,0.6206896551724138,0.3448275862068966,0.3793103448275862,0.4,0.034482758620689655,0.41379310344827586,0.5365853658536586,0.4358974358974359
Anatomy & Morphology,0.3333333333333333,0.25,0.3333333333333333,0.5714285714285714,0.4722222222222222,0.5,1.0,0.3055555555555556,0.5365853658536586,0.5277777777777778,0.5609756097560976,0.2222222222222222,0.6111111111111112,0.3888888888888889,0.4722222222222222,0.5,0.08333333333333333,0.5,0.3611111111111111,0.574468085106383,0.1388888888888889,0.08333333333333333,0.16666666666666666,0.5641025641025641,0.5,0.5,0.3333333333333333,0.4166666666666667,0.3888888888888889,0.2777777777777778,0.7297297297297297,0.5555555555555556,0.5277777777777778,0.4722222222222222,0.2222222222222222,0.5,0.5476190476190477,0.4722222222222222,0.2777777777777778,0.3888888888888889,0.3055555555555556,0.25,0.574468085106383,0.5526315789473685,0.5882352941176471,0.1388888888888889,0.5,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.47368421052631576,0.6666666666666666,0.3611111111111111,0.3055555555555556,0.675,0.5263157894736842,0.4722222222222222,0.4722222222222222,0.5,0.58,0.3888888888888889,0.4444444444444444,0.4772727272727273,0.3333333333333333,0.3055555555555556,0.4722222222222222,0.2222222222222222,0.3611111111111111,0.4166666666666667,0.4634146341463415,0.5555555555555556,0.6388888888888888,0.5,0.3611111111111111,0.4722222222222222,0.3611111111111111,0.3055555555555556,0.25,0.5531914893617021,0.3888888888888889,0.4166666666666667,0.3611111111111111,0.3888888888888889,0.5365853658536586,0.6666666666666666,0.6111111111111112,0.5833333333333334,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.6388888888888888,0.5,0.5,0.16666666666666666,0.4444444444444444,0.6,0.3055555555555556,0.1111111111111111,0.6111111111111112,0.3888888888888889,0.3055555555555556,0.5555555555555556,0.5833333333333334,0.5526315789473685,0.6111111111111112,0.19444444444444445,0.3611111111111111,0.3055555555555556,0.3055555555555556,0.4166666666666667,0.6818181818181818,0.3055555555555556,0.4166666666666667,0.4166666666666667,0.3611111111111111,0.6388888888888888,0.3888888888888889,0.4722222222222222,0.2777777777777778,0.6944444444444444,0.4444444444444444,0.2777777777777778,0.5,0.3055555555555556,0.08333333333333333,0.5348837209302325,0.25,0.4166666666666667,0.4166666666666667,0.4722222222222222,0.4722222222222222,0.2777777777777778,0.5277777777777778,0.2222222222222222,0.3333333333333333,0.3888888888888889,0.3611111111111111,0.25,0.2777777777777778,0.4888888888888889,0.05555555555555555,0.2777777777777778,0.6829268292682927,0.5897435897435898
Anesthesiology,0.38095238095238093,0.3888888888888889,0.47058823529411764,0.2653061224489796,0.35714285714285715,0.3793103448275862,0.3055555555555556,1.0,0.34146341463414637,0.3103448275862069,0.21951219512195122,0.2222222222222222,0.37142857142857144,0.5263157894736842,0.21739130434782608,0.4230769230769231,0.058823529411764705,0.32142857142857145,0.29411764705882354,0.23404255319148937,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.28205128205128205,0.1724137931034483,0.4838709677419355,0.3888888888888889,0.3333333333333333,0.2857142857142857,0.4117647058823529,0.2972972972972973,0.3076923076923077,0.3548387096774194,0.46153846153846156,0.5294117647058824,0.2894736842105263,0.2857142857142857,0.3125,0.46153846153846156,0.34615384615384615,0.4117647058823529,0.4782608695652174,0.2765957446808511,0.39473684210526316,0.3137254901960784,0.29411764705882354,0.4,0.42105263157894735,0.47058823529411764,0.47058823529411764,0.34210526315789475,0.3076923076923077,0.2647058823529412,0.21739130434782608,0.325,0.2631578947368421,0.13793103448275862,0.36,0.3870967741935484,0.24,0.2727272727272727,0.35714285714285715,0.2727272727272727,0.4444444444444444,0.4117647058823529,0.39285714285714285,0.5555555555555556,0.34615384615384615,0.35294117647058826,0.2682926829268293,0.5,0.46875,0.36363636363636365,0.5,0.45454545454545453,0.5217391304347826,0.5,0.5555555555555556,0.2978723404255319,0.2916666666666667,0.36,0.391304347826087,0.3333333333333333,0.24390243902439024,0.16666666666666666,0.3142857142857143,0.5357142857142857,0.39285714285714285,0.37142857142857144,0.34615384615384615,0.3333333333333333,0.3103448275862069,0.39285714285714285,0.4117647058823529,0.4074074074074074,0.28888888888888886,0.5882352941176471,0.11764705882352941,0.1875,0.34782608695652173,0.36363636363636365,0.2857142857142857,0.42857142857142855,0.3684210526315789,0.3548387096774194,0.6111111111111112,0.28,0.32,0.6111111111111112,0.5714285714285714,0.25,0.375,0.43333333333333335,0.3333333333333333,0.2857142857142857,0.375,0.42105263157894735,0.16666666666666666,0.35294117647058826,0.3235294117647059,0.5,0.35,0.4,0.375,0.0,0.3023255813953488,0.47058823529411764,0.4,0.4090909090909091,0.41379310344827586,0.29411764705882354,0.5789473684210527,0.34375,0.0,0.391304347826087,0.5416666666666666,0.2857142857142857,0.29411764705882354,0.5,0.28888888888888886,0.0,0.6111111111111112,0.3170731707317073,0.3333333333333333
Anthropology and Archaeology,0.36585365853658536,0.34146341463414637,0.2682926829268293,0.5918367346938775,0.4634146341463415,0.4146341463414634,0.5365853658536586,0.34146341463414637,1.0,0.4146341463414634,0.5609756097560976,0.1951219512195122,0.6097560975609756,0.3170731707317073,0.36585365853658536,0.4634146341463415,0.17073170731707318,0.4146341463414634,0.2926829268292683,0.6170212765957447,0.1951219512195122,0.2682926829268293,0.14634146341463414,0.5121951219512195,0.36585365853658536,0.5121951219512195,0.3170731707317073,0.4146341463414634,0.36585365853658536,0.24390243902439024,0.6341463414634146,0.4146341463414634,0.5365853658536586,0.4878048780487805,0.34146341463414637,0.6829268292682927,0.6428571428571429,0.5365853658536586,0.4878048780487805,0.2926829268292683,0.2926829268292683,0.4146341463414634,0.6595744680851063,0.6829268292682927,0.5882352941176471,0.17073170731707318,0.4634146341463415,0.4146341463414634,0.2926829268292683,0.2926829268292683,0.5609756097560976,0.6341463414634146,0.5609756097560976,0.24390243902439024,0.6341463414634146,0.5365853658536586,0.3170731707317073,0.4634146341463415,0.6097560975609756,0.6,0.5365853658536586,0.5365853658536586,0.6363636363636364,0.34146341463414637,0.3170731707317073,0.5365853658536586,0.3170731707317073,0.43902439024390244,0.34146341463414637,0.6585365853658537,0.5121951219512195,0.5853658536585366,0.5121951219512195,0.4634146341463415,0.4146341463414634,0.43902439024390244,0.36585365853658536,0.34146341463414637,0.6595744680851063,0.21951219512195122,0.34146341463414637,0.36585365853658536,0.6097560975609756,0.5609756097560976,0.34146341463414637,0.6341463414634146,0.5365853658536586,0.4634146341463415,0.4878048780487805,0.5853658536585366,0.5365853658536586,0.3902439024390244,0.4878048780487805,0.2926829268292683,0.5365853658536586,0.6666666666666666,0.3170731707317073,0.1951219512195122,0.4878048780487805,0.34146341463414637,0.3902439024390244,0.5853658536585366,0.6341463414634146,0.6829268292682927,0.5121951219512195,0.2926829268292683,0.3170731707317073,0.34146341463414637,0.36585365853658536,0.36585365853658536,0.6363636363636364,0.2682926829268293,0.4878048780487805,0.36585365853658536,0.36585365853658536,0.5121951219512195,0.3170731707317073,0.34146341463414637,0.2926829268292683,0.6097560975609756,0.4634146341463415,0.2926829268292683,0.5121951219512195,0.43902439024390244,0.0975609756097561,0.6744186046511628,0.2682926829268293,0.4146341463414634,0.3902439024390244,0.5365853658536586,0.2926829268292683,0.3902439024390244,0.6097560975609756,0.14634146341463414,0.4634146341463415,0.4146341463414634,0.4146341463414634,0.2682926829268293,0.36585365853658536,0.6444444444444445,0.024390243902439025,0.34146341463414637,0.6585365853658537,0.6585365853658537
Applied Chemistry,0.5517241379310345,0.3103448275862069,0.41379310344827586,0.42857142857142855,0.4827586206896552,0.5862068965517241,0.5277777777777778,0.3103448275862069,0.4146341463414634,1.0,0.5365853658536586,0.4482758620689655,0.42857142857142855,0.3448275862068966,0.41379310344827586,0.3793103448275862,0.06896551724137931,0.6551724137931034,0.3793103448275862,0.3829787234042553,0.1724137931034483,0.13793103448275862,0.13793103448275862,0.5897435897435898,0.6551724137931034,0.6451612903225806,0.27586206896551724,0.3448275862068966,0.5862068965517241,0.27586206896551724,0.4864864864864865,0.41379310344827586,0.45161290322580644,0.3793103448275862,0.3448275862068966,0.39473684210526316,0.3333333333333333,0.40625,0.3103448275862069,0.5862068965517241,0.2413793103448276,0.3103448275862069,0.3617021276595745,0.34210526315789475,0.47058823529411764,0.10344827586206896,0.41379310344827586,0.3448275862068966,0.41379310344827586,0.13793103448275862,0.2631578947368421,0.38461538461538464,0.23529411764705882,0.4482758620689655,0.575,0.5526315789473685,0.5517241379310345,0.27586206896551724,0.3870967741935484,0.36,0.2727272727272727,0.3793103448275862,0.4772727272727273,0.3103448275862069,0.3448275862068966,0.3448275862068966,0.3103448275862069,0.27586206896551724,0.27586206896551724,0.2926829268292683,0.6666666666666666,0.53125,0.6666666666666666,0.41379310344827586,0.4827586206896552,0.3793103448275862,0.20689655172413793,0.3103448275862069,0.3617021276595745,0.6206896551724138,0.6551724137931034,0.4482758620689655,0.30303030303030304,0.4146341463414634,0.5666666666666667,0.34285714285714286,0.4482758620689655,0.41379310344827586,0.5428571428571428,0.3793103448275862,0.5833333333333334,0.5862068965517241,0.41379310344827586,0.13793103448275862,0.3793103448275862,0.37777777777777777,0.2413793103448276,0.06896551724137931,0.53125,0.3793103448275862,0.27586206896551724,0.45714285714285713,0.4,0.34210526315789475,0.5483870967741935,0.27586206896551724,0.5517241379310345,0.4827586206896552,0.3103448275862069,0.3793103448275862,0.5,0.4482758620689655,0.4,0.3448275862068966,0.3793103448275862,0.59375,0.3448275862068966,0.6666666666666666,0.20689655172413793,0.5588235294117647,0.3448275862068966,0.5517241379310345,0.5333333333333333,0.3103448275862069,0.06896551724137931,0.32558139534883723,0.2413793103448276,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.27586206896551724,0.40625,0.27586206896551724,0.27586206896551724,0.3793103448275862,0.5517241379310345,0.27586206896551724,0.2413793103448276,0.35555555555555557,0.034482758620689655,0.3103448275862069,0.43902439024390244,0.38461538461538464
