abbrev,level_1,level_2,level_3
Fine Arts/Arch,Fine Arts & Architecture,Arts,Arts and Humanities
Perf. Arts,Performing Arts,Arts,Arts and Humanities
Agr. & Food Sci.,Agricult & Food Science,Biology,Natural Sciences
Botany,Botany,Biology,Natural Sciences
Dairy&Animal Sci.,Dairy & Animal Science,Biology,Natural Sciences
Ecology,Ecology,Biology,Natural Sciences
Entomology,Entomology,Biology,Natural Sciences
Geo. Bio.,General Biology,Biology,Natural Sciences
Gen. Zoo,General Zoology,Biology,Natural Sciences
Marine & Hydro. Bio.,Marine Biology & Hydrobiology,Biology,Natural Sciences
Misc. Bio,Miscellaneous Biology,Biology,Natural Sciences
Misc. Zoo,Miscellaneous Zoology,Biology,Natural Sciences
Anatomy&Morphology,Anatomy & Morphology,Biomedical Research,Medical Sciences
Biochem & Mol. Bio.,Biochemistry & Molecular Biology,Biomedical Research,Medical Sciences
Biomed. Eng.,Biomedical Engineering,Biomedical Research,Medical Sciences
Biophysics,Biophysics,Biomedical Research,Medical Sciences
"Cell. Bio., Cytology, Histology",Cellular Biology Cytology & Histology,Biomedical Research,Medical Sciences
Embryology,Embryology,Biomedical Research,Medical Sciences
Gen. Biomed.,General Biomedical Research,Biomedical Research,Medical Sciences
Genetics&Heredity,Genetics & Heredity,Biomedical Research,Medical Sciences
Microbio.,Microbiology,Biomedical Research,Medical Sciences
Microscopy,Microscopy,Biomedical Research,Medical Sciences
Misc. Biomed,Miscellaneous Biomedical Research,Biomedical Research,Medical Sciences
Nurtition&Dietics,Nutrition & Dietetic,Biomedical Research,Medical Sciences
Parasitology,Parasitology,Biomedical Research,Medical Sciences
Physiology,Physiology,Biomedical Research,Medical Sciences
Virology,Virology,Biomedical Research,Medical Sciences
Analytical Chem.,Analytical Chemistry,Chemistry,Natural Sciences
Applied Chem.,Applied Chemistry,Chemistry,Natural Sciences
Gen. Chem.,General Chemistry,Chemistry,Natural Sciences
Inorg./Nuclear Chem.,Inorganic & Nuclear Chemistry,Chemistry,Natural Sciences
Org. Cham,Organic Chemistry,Chemistry,Natural Sciences
Phys. Chem.,Physical Chemistry,Chemistry,Natural Sciences
Polymers,Polymers,Chemistry,Natural Sciences
Addictive Dis.,Addictive Diseases,Clinical Medicine,Medical Sciences
Allergy,Allergy,Clinical Medicine,Medical Sciences
Anesthesiology,Anesthesiology,Clinical Medicine,Medical Sciences
Arthritis & Rheumatology,Arthritis & Rheumatology,Clinical Medicine,Medical Sciences
Cancer,Cancer,Clinical Medicine,Medical Sciences
Cardio. System,Cardiovascular System,Clinical Medicine,Medical Sciences
Dentistry,Dentistry,Clinical Medicine,Medical Sciences
Dermatology & Venerial Dis.,Dermatology & Venerial Disease,Clinical Medicine,Medical Sciences
Endocrinology,Endocrinology,Clinical Medicine,Medical Sciences
Enviro.&Occupational Health,Environmental & Occupational Health,Clinical Medicine,Medical Sciences
Fertility,Fertility,Clinical Medicine,Medical Sciences
Gastroenterology,Gastroenterology,Clinical Medicine,Medical Sciences
Gen. & Internal Med.,General & Internal Medicine,Clinical Medicine,Medical Sciences
Geriatrics,Geriatrics,Clinical Medicine,Medical Sciences
Hematology,Hematology,Clinical Medicine,Medical Sciences
Immunology,Immunology,Clinical Medicine,Medical Sciences
Misc. Clinical Med.,Miscellaneous Clinical Medicine,Clinical Medicine,Medical Sciences
Nephrology,Nephrology,Clinical Medicine,Medical Sciences
Neurology & Neurosurgery,Neurology & Neurosurgery,Clinical Medicine,Medical Sciences
